,,,,,,,,,Numero,de,CasosNuevos,segun,semana,epidemiologica,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (5 de abril al 11 de abril) ,SE 16 (12 de abril al 18 de abril) ,SE 17 (19 de abril al de abril) 
Alto Biobio& ,6775 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,0 ,O ,0 ,0 ,0 ,0 
Antuco ,4306 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0 ,O ,O ,O ,O ,0 ,0 ,O 
Arauco& ,38679 ,6 ,15.5 ,O ,0.0 ,O ,0.0 ,O ,0 ,1 ,2 ,2 ,1 ,O ,0 ,0 
Cabrero& ,30725 ,13 ,42.3 ,6 ,19.5 ,6 ,19.5 ,O ,0 ,O ,1 ,O ,3 ,3 ,5 ,1 
Canete ,37003 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0 ,O ,0 ,O ,0 ,0 ,O ,0 
Chiguayante& ,91180 ,57 ,62.5 ,17 ,18.6 ,16 ,17.5 ,0 ,0 ,5 ,5 ,8 ,16 ,11 ,9 ,3 
Concepcion ,238092 ,136 ,57.1 ,33 ,13.9 ,32 ,13.4 ,1 ,1 ,8 ,26 ,33 ,22 ,20 ,17 ,8 
Contulmo ,6330 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,O ,0 ,0 ,0 ,0 
Coronel& ,125829 ,16 ,12.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,6 ,6 ,3 ,1 ,0 ,0 
Curanilahue ,33892 ,2 ,5.9 ,1 ,3.0 ,1 ,3.0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 
Florida& ,11841 ,3 ,25.3 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,0 ,0 ,2 ,1 ,0 ,O ,0 
Hualpen& ,97273 ,103 ,105.9 ,13 ,13.4 ,13 ,13.4 ,0 ,0 ,1 ,18 ,31 ,26 ,17 ,9 ,1 
Hualqui8 ,26201 ,19 ,72.5 ,10 ,38.2 ,10 ,38.2 ,O ,0 ,1 ,1 ,2 ,3 ,4 ,8 ,0 
Laja& ,23873 ,10 ,41.9 ,4 ,16.8 ,4 ,16.8 ,0 ,1 ,1 ,0 ,3 ,0 ,1 ,1 ,3 
Lebu ,27100 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Los Alamos& ,22524 ,1 ,4.4 ,1 ,4.4 ,1 ,4.4 ,0 ,0 ,0 ,0 ,O ,0 ,1 ,0 ,0 
Los Angeles& ,218515 ,31 ,14.2 ,3 ,1.4 ,3 ,1.4 ,O ,0 ,3 ,5 ,10 ,6 ,4 ,3 ,0 
Lota ,45750 ,1 ,2.2 ,O ,0.0 ,O ,0.0 ,0 ,0 ,O ,1 ,O ,0 ,0 ,0 ,0 
Mulchen ,31041 ,5 ,16.1 ,O ,0.0 ,0 ,0.0 ,O ,0 ,O ,1 ,4 ,0 ,0 ,0 ,0 
Nacimiento ,27944 ,10 ,35.8 ,1 ,3.6 ,1 ,3.6 ,O ,0 ,0 ,2 ,3 ,3 ,2 ,O ,0 
Negrete ,10429 ,2 ,19.2 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 
Penco& ,49865 ,17 ,34.1 ,9 ,18.0 ,9 ,18.0 ,0 ,O ,O ,1 ,3 ,3 ,3 ,7 ,0 
