,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,3919 ,1.9 ,646.1 ,3572 ,1.8 ,611.8 ,7491 ,1.9 ,629.3 
05 09 anos ,3220 ,1.6 ,493.2 ,3030 ,1.6 ,481.3 ,6250 ,1.6 ,487.4 
10 14 anos ,3623 ,1.8 ,562.7 ,3752 ,1.9 ,603.8 ,7375 ,1.8 ,582.9 
15 19 anos ,6230 ,3.0 ,972.5 ,7070 ,3.6 ,1141.4 ,13300 ,3.3 ,1055.5 
20 24 anos ,16041 ,7.8 ,2188.4 ,16009 ,8.3 ,2254.2 ,32050 ,8.0 ,2220.8 
25 29 anos ,25323 ,12.3 ,3024.2 ,24810 ,12.8 ,3056.2 ,50133 ,12.5 ,3039.9 
30 34 anos ,25881 ,12.6 ,3194.3 ,23118 ,11.9 ,2941.3 ,48999 ,12.3 ,3069.7 
35 39 anos ,21290 ,10.3 ,2935.1 ,18468 ,9.5 ,2601.5 ,39758 ,9.9 ,2770.1 
40 44 anos ,17946 ,8.7 ,2657.5 ,15636 ,8.1 ,2327.8 ,33582 ,8.4 ,2493.1 
45 49 anos ,17550 ,8.5 ,2780.6 ,16324 ,8.4 ,2549.2 ,33874 ,8.5 ,2664.1 
50 54 anos ,16692 ,8.1 ,2777.2 ,15547 ,8.0 ,2494.0 ,32239 ,8.1 ,2633.0 
55 59 anos ,15706 ,7.6 ,2830.6 ,14127 ,7.3 ,2391.9 ,29833 ,7.5 ,2604.4 
60 64 anos ,11746 ,5.7 ,2493.7 ,10066 ,5.2 ,1941.9 ,21812 ,5.5 ,2204.6 
65 69 anos ,7427 ,3.6 ,1960.0 ,6676 ,3.4 ,1532.3 ,14103 ,3.5 ,1731.3 
70 74 anos ,5286 ,2.6 ,2001.7 ,5051 ,2.6 ,1581.8 ,10337 ,2.6 ,1771.9 
75 79 anos ,3598 ,1.7 ,2039.7 ,3883 ,2.0 ,1635.7 ,7481 ,1.9 ,1807.9 
80 y mas anos ,4360 ,2.1 ,2218.6 ,6858 ,3.5 ,1957.7 ,11218 ,2.8 ,2051.4 
Total ,205838 ,100 ,2144.3 ,193997 ,100 ,1967.7 ,399835 ,100 ,2054.8 
