Grupoedad,,Hombre,,,Mujer,,,Total,
,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,2673 ,1.8 ,440.7 ,2393 ,1.7 ,409.9 ,5066 ,1.7 ,425.6 
05 09 anos ,2072 ,1.4 ,317.4 ,1953 ,1.4 ,310.2 ,4025 ,1.4 ,313.9 
10 14 anos ,2367 ,1.6 ,367.6 ,2453 ,1.7 ,394.7 ,4820 ,1.6 ,380.9 
15 19 anos ,4235 ,2.8 ,661.1 ,4834 ,3.4 ,780.4 ,9069 ,3.1 ,719.7 
20 24 anos ,11824 ,7.8 ,1613.1 ,11638 ,8.3 ,1638.8 ,23462 ,8.0 ,1625.7 
25 29 anos ,19034 ,12.6 ,2273.1 ,18388 ,13.1 ,2265.1 ,37422 ,12.8 ,2269.2 
30 34 anos ,19378 ,12.8 ,2391.7 ,17197 ,12.2 ,2188.0 ,36575 ,12.5 ,2291.4 
35 39 anos ,16139 ,10.7 ,2225.0 ,13770 ,9.8 ,1939.7 ,29909 ,10.2 ,2083.9 
40 44 anos ,13351 ,8.8 ,1977.1 ,11528 ,8.2 ,1716.2 ,24879 ,8.5 ,1847.0 
45 49 anos ,12923 ,8.5 ,2047.5 ,12108 ,8.6 ,1890.8 ,25031 ,8.6 ,1968.6 
50 54 anos ,12376 ,8.2 ,2059.1 ,11391 ,8.1 ,1827.3 ,23767 ,8.1 ,1941.1 
55 59 anos ,11605 ,7.7 ,2091.5 ,10279 ,7.3 ,1740.4 ,21884 ,7.5 ,1910.5 
60 64 anos ,8618 ,5.7 ,1829.6 ,7149 ,5.1 ,1379.2 ,15767 ,5.4 ,1593.6 
65 69 anos ,5367 ,3.5 ,1416.4 ,4704 ,3.3 ,1079.7 ,10071 ,3.4 ,1236.3 
70 74 anos ,3764 ,2.5 ,1425.4 ,3558 ,2.5 ,1114.3 ,7322 ,2.5 ,1255.1 
75 79 anos ,2582 ,1.7 ,1463.8 ,2690 ,1.9 ,1133.2 ,5272 ,1.8 ,1274.1 
80 y mas anos ,3028 ,2.0 ,1540.8 ,4819 ,3.4 ,1375.6 ,7847 ,2.7 ,1435.0 
Tota ,151336 ,100 ,1576.6 ,140852 ,100 ,1428.6 ,292188 ,100 ,1501.6 
