,,,,,,Numero,deCasos,segunFechade,Iniciode,Sintomas,,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE SE 12 13 14 ,SE SE 15 16 ,SE SE 17 18 ,SE 19 ,SE SE 20 21 ,SE 22 ,SE 23 
Cauquenes & ,44143 ,143 ,323.9 ,96 ,217.5 ,95 ,215.2 ,0 0 0 ,0 2 3 ,1 5 ,2 1 ,3 ,12 14 ,46 ,54 
Chanco ,9331 ,6 ,64.3 ,2 ,21.4 ,2 ,21.4 ,O O 0 ,0 1 0 ,O 1 ,1 O ,0 ,O 1 ,O ,2 
Colbun ,22565 ,46 ,203.9 ,13 ,57.6 ,13 ,57.6 ,O O O ,0 3 3 ,O O ,O 1 ,4 ,9 12 ,13 ,1 
Constitucion ,50348 ,42 ,83.4 ,7 ,13.9 ,7 ,13.9 ,O O 0 ,0 3 3 ,5 7 ,4 1 ,2 ,3 5 ,6 ,3 
Curepto ,9426 ,13 ,137.9 ,1 ,10.6 ,1 ,10.6 ,0 0 0 ,0 O 3 ,2 3 ,0 1 ,1 ,2 0 ,1 ,0 
Curico ,163626 ,534 ,326.4 ,253 ,154.6 ,251 ,153.4 ,O 1 3 ,3 6 3 ,12 9 ,10 10 ,19 ,42 144 ,180 ,92 
Empedrado ,4206 ,1 ,23.8 ,1 ,23.8 ,1 ,23.8 ,O O O ,0 O O ,O O ,0 O ,O ,O O ,O ,1 
Hualane ,10222 ,63 ,616.3 ,39 ,381.5 ,38 ,371.7 ,0 0 0 ,0 O 0 ,O 1 ,0 O ,0 ,3 17 ,22 ,20 
Licanten ,6989 ,2 ,28.6 ,O ,0.0 ,O ,0.0 ,O O 0 ,0 0 1 ,O 1 ,O 0 ,0 ,0 O ,O ,O 
Linares ,101073 ,107 ,105.9 ,27 ,26.7 ,27 ,26.7 ,1 O O ,2 5 5 ,4 6 ,3 4 ,12 ,17 18 ,26 ,4 
Longavi ,32810 ,49 ,149.3 ,19 ,57.9 ,19 ,57.9 ,O O O ,1 O 1 ,1 1 ,0 2 ,5 ,9 10 ,19 ,O 
Maule ,60000 ,90 ,150.0 ,33 ,55.0 ,33 ,55.0 ,0 O 0 ,1 1 2 ,6 12 ,2 0 ,3 ,13 12 ,26 ,12 
Molina ,49800 ,46 ,92.4 ,22 ,44.2 ,22 ,44.2 ,0 0 0 ,1 2 0 ,1 3 ,0 O ,2 ,4 9 ,17 ,7 
Parral ,44544 ,106 ,238.0 ,34 ,76.3 ,34 ,76.3 ,O O O ,1 3 2 ,2 1 ,O O ,6 ,5 42 ,44 ,O 
Pelarco ,9083 ,26 ,286.2 ,6 ,66.1 ,6 ,66.1 ,0 O O ,0 O 0 ,3 2 ,0 2 ,4 ,5 4 ,3 ,3 
Pelluhue ,8092 ,12 ,148.3 ,2 ,24.7 ,2 ,24.7 ,O O O ,1 O 0 ,1 O ,O O ,1 ,6 1 ,2 ,O 
Pencahue ,8601 ,14 ,162.8 ,2 ,23.3 ,2 ,23.3 ,O O O ,0 O 0 ,O 3 ,O 0 ,O ,O 8 ,3 ,O 
"Rauco"" ",11248 ,17 ,151.1 ,4 ,35.6 ,4 ,35.6 ,O O O ,0 1 1 ,O 1 ,O O ,1 ,1 7 ,5 ,O 
Retiro' ,21071 ,59 ,280.0 ,34 ,161.4 ,34 ,161.4 ,1 O O ,0 O 0 ,1 O ,0 1 ,0 ,1 17 ,38 ,O 
