ANEXOS,
Calendario epidemiologico ,
Semana 9: 23 al 29 de febrero ,
Semana 10: 1 al 7 de marzo ,
Semana 11: 8 al 14 de marzo ,
Semana 12: 15 al 21 de marzo ,
Semana 13: 22 al 28 de marzo ,
Semana 14: 29 de marzo al 4 de abril ,
Semana 15: 5 al 11 de abril ,
Semana 16: 12 al 18 de abril ,
Semana 17: 19 al 25 de abril ,
Semana 18: 26 de abril al 2 de mayo ,
Semana 19: 3 al 9 de mayo ,
Semana 20: 10 al 16 de mayo ,
Semana 21: 17 al 23 de mayo ,
Semana 22: 24 al 30 de mayo ,
Semana 23: 31 de mayo al 6 de junio ,
Semana 24: 7 al 13 de junio ,
Semana 25: 14 al 20 de junio ,
Semana 26: 21 al 27 de junio ,
Semana 27: 28 de junio al 4 de julio ,
Semana 28: 5 al 11 de julio ,
Semana 29: 12 al 18 de julio ,
Semana 30: 19 al 25 de julio ,
Semana 31: 26 de julio al 1 de agosto ,
Semana 32: 2 al 8 de agosto ,
Semana 33: 9 al 15 de agosto ,
Semana 34: 16 al 22 de agosto ,
