,,,,,,Numerode,CasossegunFecha,deIniciode,Sintomas,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE SE 13 14 15 ,SE SE SE SE SE SE SE SE 16 17 18 19 20 21 22 23 
Alto del Carmen ,5729 ,1 ,17.5 ,1 ,17.5 ,1 ,17.5 ,0 O 0 O ,0 0 0 ,0 0 0 0 0 O 1 O 
Caldera ,19426 ,9 ,46.3 ,4 ,20.6 ,4 ,20.6 ,0 O O O ,O O O ,O O 2 2 1 1 3 O 
Chanaral ,13164 ,1 ,7.6 ,1 ,7.6 ,1 ,7.6 ,O O O O ,O O O ,O O O O O 1 O O 
Copiapo ,171766 ,160 ,93.1 ,55 ,32.0 ,55 ,32.0 ,0 O 1 O ,2 1 4 ,O 12 26 27 14 24 39 10 
Diego de Almagro ,14358 ,13 ,90.5 ,4 ,27.9 ,4 ,27.9 ,0 O O O ,1 O O ,O O 1 1 4 3 3 O 
Freirina ,7681 ,1 ,13.0 ,O ,0.0 ,0 ,0.0 ,0 O O O ,O O O ,1 O 0 O O O O O 
Huasco ,11264 ,2 ,17.8 ,1 ,8.9 ,1 ,8.9 ,0 O O O ,O O O ,O O 1 O 0 O O 1 
Tierra Amarilla ,14312 ,25 ,174.7 ,2 ,14.0 ,2 ,14.0 ,0 O O O ,O 2 3 ,O 2 5 10 1 O 1 1 
Vallenar ,57009 ,65 ,114.0 ,16 ,28.1 ,16 ,28.1 ,0 O O 0 ,O 0 1 ,9 11 9 13 2 6 12 2 
Total ,314709 ,277 ,88.0 ,84 ,26.7 ,84 ,26.7 ,0 0 1 0 ,3 3 8 ,10 25 44 53 22 35 59 14 
