Comuna,Proporcioninvestigados,decasosantesde,nuevos48hrs,Proporciondecontactos,casosconidentificados,Proporcioninvestigados,decontactosantesde,nuevos48hrs
,Casos Nuevos ,Investigados ,% ,Casos con contacto ,% ,Contactos Nuevos ,Investigados ,% 
Bulnes ,47 ,47 ,100 ,46 ,979 ,68 ,68 ,100 
Chillan ,116 ,116 ,100 ,116 ,100 ,14 ,14 ,100 
Chillan Viejo ,16 ,16 ,100 ,16 ,100 ,206 ,206 ,100 
Cobquecura ,16 ,16 ,100 ,16 ,100 ,5 ,5 ,100 
Coelemu ,5 ,5 ,100 ,5 ,100 ,11 ,11 ,100 
Coihueco ,14 ,14 ,100 ,14 ,100 ,11 ,11 ,100 
EI Carmen ,- ,- ,- ,- ,- ,- ,- ,- 
Ninhue ,3 ,3 ,100 ,3 ,100 ,2 ,2 ,100 
Niquen ,23 ,23 ,100 ,23 ,100 ,18 ,18 ,100 
Pemuco ,- ,- ,- ,- ,- ,- ,- ,- 
Pinto ,8 ,8 ,100 ,8 ,100 ,9 ,9 ,100 
Portezuelo ,2 ,2 ,100 ,2 ,100 ,- ,- ,- 
Quillon ,11 ,11 ,100 ,11 ,100 ,5 ,5 ,100 
Quirihue ,20 ,20 ,100 ,20 ,100 ,18 ,18 ,100 
Ranquil ,7 ,7 ,100 ,7 ,100 ,4 ,4 ,100 
San Carlos ,12 ,12 ,100 ,12 ,100 ,37 ,37 ,100 
San Fabian ,1 ,1 ,100 ,1 ,100 ,- ,- ,- 
San Ignacio ,6 ,6 ,100 ,5 ,833 ,9 ,9 ,100 
San Nicolas ,1 ,1 ,100 ,1 ,100 ,- ,- ,- 
Treguaco ,5 ,5 ,100 ,5 ,100 ,- ,- ,- 
Yungay ,4 ,4 ,100 ,4 ,100 ,1 ,1 ,100 
Total ,317 ,317 ,100 ,315 ,994 ,418 ,418 ,100 
