Fecha,Fechanotificacion,Fechaprimerossintomas
22-02-20 ,0 ,1 
23-02-20 ,O ,1 
24-02-20 ,O ,2 
25-02-20 ,0 ,11 
26-02-20 ,0 ,1 
27-02-20 ,0 ,3 
28-02-20 ,1 ,4 
29-02-20 ,0 ,O 
01-03-20 ,0 ,9 
02-03-20 ,1 ,7 
03-03-20 ,1 ,9 
04-03-20 ,2 ,8 
05-03-20 ,4 ,32 
06-03-20 ,2 ,14 
07-03-20 ,2 ,14 
08-03-20 ,6 ,24 
09-03-20 ,2 ,35 
10-03-20 ,12 ,66 
11-03-20 ,17 ,52 
12-03-20 ,14 ,70 
13-03-20 ,24 ,118 
14-03-20 ,49 ,154 
15-03-20 ,50 ,177 
16-03-20 ,87 ,282 
17-03-20 ,150 ,255 
18-03-20 ,112 ,272 
19-03-20 ,152 ,298 
20-03-20 ,176 ,360 
21-03-20 ,168 ,313 
22-03-20 ,158 ,305 
23-03-20 ,216 ,397 
24-03-20 ,289 ,334 
25-03-20 ,360 ,347 
26-03-20 ,380 ,347 
27-03-20 ,391 ,359 
28-03-20 ,286 ,326 
29-03-20 ,303 ,290 
30-03-20 ,384 ,399 
31-03-20 ,363 ,341 
01-04-20 ,353 ,479 
02-04-20 ,455 ,392 
03-04-20 ,431 ,401 
04-04-20 ,333 ,386 
05-04-20 ,255 ,366 
06-04-20 ,515 ,484 
07-04-20 ,543 ,445 
08-04-20 ,488 ,419 
09-04-20 ,473 ,461 
10-04-20 ,269 ,477 
11-04-20 ,318 ,380 
12-04-20 ,242 ,409 
