Comuna,Proporcion,decasosinvestigadosantesde,nuevos48h,Proporcion,decontactosinvestigadosantesde,nuevos48h
,Casos Nuevos ,Investigados ,% ,Contactos Nuevos ,Investigados ,% 
Antartica ,- ,-- ,- ,- ,- ,- 
Cabo de Hornos ,- ,- ,- ,- ,- ,- 
Laguna Blanca ,- ,- ,- ,- ,- ,- 
Natales ,- ,- ,- ,- ,- ,- 
Porvenir ,- ,-- ,- ,- ,- ,-- 
Primavera ,- ,- ,- ,- ,- ,- 
Punta Arenas ,190 ,190 ,1000 ,179 ,179 ,1000 
Rio Verde ,- ,- ,- ,- ,- ,- 
San Gregorio ,- ,- ,- ,- ,- ,- 
Timaukel ,-- ,- ,- ,- ,- ,- 
Torres del Paine ,- ,- ,- ,- ,- ,- 
Total ,190 ,190 ,1000 ,179 ,179 ,1000 
