Comuna,Poblacion,Confirmados,Tasadeincidencia
Algarrobo ,15174 ,9 ,59.3 
Cabildo ,20663 ,- ,0.0 
Calera ,53591 ,7 ,13.1 
Calle Larga ,16482 ,- ,12.1 
Cartagena ,25357 ,- ,0.0 
Casablanca ,29170 ,- ,6.9 
Catemu ,15213 ,- ,0.0 
Concon ,45889 ,7 ,15.3 
EI Quisco ,17742 ,- ,5.6 
EI Tabo ,14338 ,- ,20.9 
Hijuelas ,19099 ,- ,0.0 
Isla de Pascua ,8277 ,5 ,60.4 
Juan Fernandez ,1033 ,- ,0.0 
La Cruz ,25321 ,- ,11.8 
La Ligua ,37739 ,- ,5.3 
Limache ,49931 ,- ,6.0 
Llaillay ,26533 ,- ,3.8 
Los Andes ,68093 ,- ,2.9 
Nogales ,23490 ,- ,0.0 
Olmue ,19266 ,- ,0.0 
Panquehue ,7633 ,- ,0.0 
Papudo ,6201 ,- ,16.1 
Petorca ,10558 ,- ,9.5 
Puchuncavi ,20071 ,- ,0.0 
Putaendo ,17645 ,- ,5.7 
Quillota ,97572 ,9 ,9.2 
Quilpue ,167085 ,11 ,6.6 
Quintero ,36135 ,-- ,5.5 
Rinconada ,11263 ,- ,0.0 
San Antonio ,96761 ,8 ,8.3 
San Esteban ,20643 ,- ,0.0 
San Felipe ,83494 ,5 ,6.0 
Santa Maria ,16367 ,- ,12.2 
Santo Domingo ,11934 ,- ,8.4 
Valparaiso ,315732 ,23 ,7.3 
Villa Alemana ,139310 ,11 ,7.9 
Vina del Mar ,361371 ,47 ,13.0 
Zapallar ,7994 ,- ,0.0 
Por determinar ,- ,7 ,
Total ,1960170 ,176 ,9.0 
