,,,,,,Numero,deCasossegun,FechadeIniciode,Sintomas,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE SE 13 14 15 ,,SE SE 16 17 ,
Ancud ,42458 ,83 ,195.5 ,41 ,96.6 ,41 ,96.6 ,O O O O ,1 0 6 ,,3 1 ,
Calbuco ,36744 ,8 ,21.8 ,1 ,2.7 ,1 ,2.7 ,0 0 O 3 ,1 1 1 ,,1 O ,
Castro ,47607 ,8 ,16.8 ,1 ,2.1 ,1 ,2.1 ,O 0 0 2 ,0 5 O ,,0 0 ,
Chaiten ,5020 ,1 ,19.9 ,O ,0.0 ,O ,,,,,,
Chonchi ,16013 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 O O ,0 0 O ,,O O ,
Cochamo ,4006 ,1 ,25.0 ,0 ,0.0 ,0 ,,,,,,
Curaco de Velez ,4066 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 O ,0 O O ,,0 O ,
Dalcahue ,15069 ,2 ,13.3 ,2 ,13.3 ,1 ,6.6 ,O 0 O O ,0 0 O ,,O 0 ,
Fresia ,12656 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 O ,,0 O ,
Frutillar ,20223 ,7 ,34.6 ,0 ,0.0 ,0 ,,,,,,
Futaleufu ,2806 ,1 ,35.6 ,1 ,35.6 ,1 ,35.6 ,O 0 0 O ,0 O O ,,0 0 ,
Hualaihue ,9525 ,3 ,31.5 ,0 ,0.0 ,O ,0.0 ,O 0 O O ,3 0 O ,,0 0 ,
Llanquihue ,18621 ,6 ,32.2 ,3 ,16.1 ,3 ,16.1 ,0 0 0 O ,1 0 O ,,0 0 ,
Los Muermos ,17817 ,2 ,11.2 ,0 ,0.0 ,O ,0.0 ,O 0 O 1 ,0 0 O ,,0 O ,
Maullin ,14894 ,14 ,94.0 ,13 ,87.3 ,13 ,,,,,,
Osorno ,173410 ,343 ,197.8 ,18 ,10.4 ,18 ,10.4 ,O 0 3 58 ,104 65 36 ,,18 15 ,
Palena ,1827 ,O ,0.0 ,0 ,0.0 ,O ,,,,,,
Puerto Montt& ,269398 ,88 ,32.7 ,32 ,11.9 ,32 ,11.9 ,0 1 1 13 ,18 11 3 ,,5 0 ,
Puerto Octay ,9192 ,5 ,54.4 ,O ,0.0 ,O ,,,,,,
Puerto Varas ,48620 ,11 ,22.6 ,3 ,6.2 ,3 ,6.2 ,O O 1 O ,2 3 2 ,,O O ,
Puqueldon ,4201 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O O O ,0 O 0 ,,O O ,
