,,NumerodeCasossegunFechadeIniciodeSintomas
SEREMI de Notificacion ,Residencia Desconocida ,SE SE SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 20 21 
SEREMI De Arica y Parinacota ,O ,0 O O 0 O 0 O 0 0 0 O O O 
SEREMI De Tarapaca ,0 ,0 0 0 0 0 0 0 0 0 0 0 0 0 
SEREMI De Antofagasta ,O ,0 0 0 0 0 0 0 0 0 0 0 0 0 
SEREMI De Atacama ,O ,0 0 0 0 0 0 O 0 0 0 0 0 O 
SEREM De Coquimbo ,O ,0 0 0 0 0 0 0 0 0 0 0 0 0 
SEREM De Valparaiso ,1 ,0 0 O 0 1 0 0 0 0 0 0 0 0 
SEREMI Metropolitana de Santiago ,10 ,0 0 1 0 0 0 O 1 1 2 3 1 1 
SEREM Del Libertador Gral B OHiggins ,O ,0 0 O 0 0 0 0 0 0 O O 0 0 
SEREM Del Maule ,0 ,0 0 0 0 0 0 0 0 0 0 0 0 0 
SEREM Del Nuble ,O ,0 0 0 0 0 O O 0 0 O O 0 0 
SEREM Del Biobio ,O ,0 O O 0 0 0 0 O 0 O O O O 
SEREMI De La Araucania ,O ,0 0 O 0 O 0 O O 0 O O 0 O 
SEREM De Los Rios ,0 ,O 0 0 0 0 0 O 0 0 0 0 0 0 
SEREMI De Los Lagos ,21 ,0 O 9 10 1 1 O 0 0 O 0 0 O 
SEREMI De Aisen del General Carlos ibanez del Campo ,1 ,0 0 1 O 0 0 O 0 0 O O O O 
SEREM De Magallanes y la Antartica Chilena ,0 ,0 0 0 0 O 0 O O 0 0 O 0 0 
Total pais ,33 ,0 0 11 10 2 1 0 1 1 2 3 1 1 
