,No,%,Tasa,No,%,Tasa,No,%,Tasa
00-04 00 -04 anos ,157 ,1.8 ,25.9 ,156 ,1.9 ,26.7 ,313 ,1.8 ,26.3 
05 09 anos ,115 ,1.3 ,17.6 ,123 ,1.5 ,19.5 ,238 ,1.4 ,18.6 
10 14 anos ,159 ,1.8 ,24.7 ,155 ,1.9 ,24.9 ,314 ,1.8 ,24.8 
15 19 anos ,222 ,2.6 ,34.7 ,279 ,3.3 ,45.0 ,501 ,2.9 ,39.8 
20 24 anos ,640 ,7.4 ,87.3 ,652 ,7.8 ,91.8 ,1292 ,7.6 ,89.5 
25 29 anos ,1102 ,12.7 ,131.6 ,1062 ,12.7 ,130.8 ,2164 ,12.7 ,131.2 
30 34 anos ,1101 ,12.7 ,135.9 ,1064 ,12.8 ,135.4 ,2165 ,12.7 ,135.6 
35 39 anos ,950 ,11.0 ,131.0 ,904 ,10.8 ,127.3 ,1854 ,10.9 ,129.2 
40 44 anos ,830 ,9.6 ,122.9 ,762 ,9.1 ,113.4 ,1592 ,9.4 ,118.2 
45 49 anos ,769 ,8.9 ,121.8 ,677 ,8.1 ,105.7 ,1446 ,8.5 ,113.7 
50 54 anos ,678 ,7.8 ,112.8 ,645 ,7.7 ,103.5 ,1323 ,7.8 ,108.1 
55 59 anos ,619 ,7.1 ,111.6 ,565 ,6.8 ,95.7 ,1184 ,7.0 ,103.4 
60 64 anos ,434 ,5.0 ,92.1 ,365 ,4.4 ,70.4 ,799 ,4.7 ,80.8 
65 69 anos ,319 ,3.7 ,84.2 ,269 ,3.2 ,61.7 ,588 ,3.5 ,72.2 
70 74 anos ,210 ,2.4 ,79.5 ,220 ,2.6 ,68.9 ,430 ,2.5 ,73.7 
75 79 anos ,169 ,1.9 ,95.8 ,147 ,1.8 ,61.9 ,316 ,1.9 ,76.4 
80 y mas anos ,196 ,2.3 ,99.7 ,293 ,3.5 ,83.6 ,489 ,2.9 ,89.4 
Total ,8670 ,100 ,90.3 ,8338 ,100 ,84.6 ,17008 ,100 ,87.4 
