Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos
Alto Hospicio ,& ,129999 ,2740 ,2107.7 ,49 ,37.7 ,203 ,156.2 ,203 
Camina ,,1375 ,43 ,3127.3 ,2 ,145.5 ,2 ,145.5 ,2 
Colchane ,,1583 ,93 ,5874.9 ,3 ,189.5 ,2 ,126.3 ,2 
Huara ,,3000 ,136 ,4533.3 ,4 ,133.3 ,3 ,100.0 ,3 
Iquique ,& ,223463 ,5193 ,2323.9 ,110 ,49.2 ,376 ,168.3 ,374 
Pica ,,5958 ,266 ,4464.6 ,1 ,16.8 ,33 ,553.9 ,33 
Pozo Almonte ,& ,17395 ,794 ,4564.5 ,14 ,80.5 ,82 ,471.4 ,82 
Desconocido ,& ,- ,413 ,- ,O ,- ,30 ,- ,30 
Total ,,382773 ,9678 ,2528.4 ,183 ,47.8 ,731 ,191.0 ,729 
,,,,,,,,,
,SE ,SE SE SE ,SE SE SE SE ,SE SE SE ,SE SE ,SE SE SE ,SE SE SE ,SE SE ,SE SE SE SE 
Comuna ,9 ,10 11 12 ,13 14 15 16 ,17 18 19 ,20 21 ,22 23 24 ,25 26 27 ,28 29 ,30 31 32 33 
Alto Hospicio ,& O ,O 0 3 ,5 6 14 24 ,38 113 143 ,270 320 ,318 262 207 ,161 177 115 ,107 112 ,131 150 64 0 
Camina ,0 ,0 0 0 ,O O 0 O ,O 0 0 ,O 3 ,9 4 2 ,4 7 3 ,6 1 ,2 1 1 O 
Colchane ,0 ,0 O 0 ,O O O O ,O 0 0 ,0 2 ,1 10 17 ,15 15 12 ,6 3 ,10 1 1 0 
Huara ,O ,O O O ,O O O O ,2 8 2 ,10 7 ,7 10 6 ,9 12 16 ,21 15 ,8 2 1 O 
Iquique ,& O ,O O 9 ,7 15 12 22 ,42 104 258 ,403 505 ,462 444 464 ,424 351 341 ,285 278 ,351 277 139 O 
Pica ,O ,O O O ,1 7 14 11 ,0 1 4 ,1 7 ,8 10 10 ,10 14 42 ,38 24 ,24 27 13 O 
Pozo Almonte ,& O ,O O O ,1 2 O O ,O 3 5 ,15 38 ,58 90 105 ,61 36 75 ,56 47 ,43 127 32 0 
Desconocido ,& 0 ,0 O O ,O 0 1 O ,1 5 94 ,29 25 ,25 31 26 ,20 22 16 ,20 33 ,35 14 16 0 
Total ,0 ,0 0 12 ,14 30 41 57 ,83 234 506 ,728 907 ,888 861 837 ,704 634 620 ,539 513 ,604 599 267 0 
