,Hospitalizados,,Sin,Hospitalizacion
Comorbilidades ,NO ,% ,No ,% 
Hipertension Arterial ,11796 ,32.0 ,43898 ,11.4 
Diabetes ,7363 ,20.0 ,21412 ,5.5 
Otra ,4838 ,13.1 ,22863 ,5.9 
Obesidad ,2555 ,6.9 ,11270 ,2.9 
Enfermedad Renal Cronica ,1586 ,4.3 ,1909 ,0.5 
Enfermedad Cardiovascular ,1465 ,4.0 ,2666 ,0.7 
Cardiopatia Cronica ,1451 ,3.9 ,2195 ,0.6 
Enfermedad Pulmonar Cronica ,1392 ,3.8 ,2528 ,0.7 
Asma ,1223 ,3.3 ,10890 ,2.8 
Enfermedad Neurologica Cronica ,945 ,2.6 ,1385 ,0.4 
nmunocomprometido ,906 ,2.5 ,1751 ,0.5 
Enfermedad Hepatica Cronica ,395 ,1.1 ,320 ,0.1 
