Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Aisen ,25002 ,55 ,220.0 ,0 ,0.0 ,13 ,52.0 ,13 ,52.0 
Chile Chico ,5121 ,1 ,19.5 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Cisnes ,5828 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Cochrane ,3685 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Coyhaique ,61210 ,37 ,60.4 ,O ,0.0 ,5 ,8.2 ,5 ,8.2 
Guaitecas ,1599 ,1 ,62.5 ,0 ,0.0 ,1 ,62.5 ,1 ,62.5 
Lago Verde ,920 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 
O'Higgins ,661 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Rio ibanez ,2699 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Tortel ,572 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
Desconocido ,- ,1 ,- ,0 ,- ,0 ,- ,0 ,- 
Total ,107297 ,95 ,88.5 ,0 ,0.0 ,19 ,17.7 ,19 ,17.7 
