,,,,Casos,Acumulados,,,,,,
Zona de Chile ,Poblacion ,Confirmados Notificados ,Confirmados No Notificados ,Probables ,Confirmados correspondientes a BAC ,% Confirmados correspondientes a BAC ,Total ,Casos Fallecidos ,Tasa incidencia acumulada ,Tasa mortalidad acumulada ,Tasa Letalidad 
Region de Arica y Parinacota ,252110 ,7786 ,32 ,340 ,557 ,6.8% ,8158 ,193 ,3235.9 ,76.6 ,2.4% 
Region de Tarapaca ,382773 ,11047 ,525 ,1281 ,1203 ,9.4% ,12853 ,272 ,3357.9 ,71.1 ,2.1% 
Region de Antofagasta ,691854 ,19389 ,294 ,1045 ,1747 ,8.4% ,20728 ,652 ,2996.0 ,94.2 ,3.1% 
Region de Atacama ,314709 ,6750 ,38 ,29 ,1373 ,20.1% ,6817 ,92 ,2166.1 ,29.2 ,1.3% 
Region de Coquimbo ,836096 ,11550 ,143 ,1575 ,1146 ,8.6% ,13268 ,296 ,1586.9 ,35.4 ,2.2% 
Region de Valparaiso ,1960170 ,26318 ,441 ,10138 ,2240 ,6.1% ,36897 ,1333 ,1882.3 ,68.0 ,3.6% 
Region Metropolitana de Santiago ,8125072 ,269917 ,14674 ,33797 ,10448 ,3.3% ,318388 ,11845 ,3918.6 ,145.8 ,3.7% 
Region de Libertador General Bernardo OHiggins ,991063 ,15925 ,58 ,3500 ,1439 ,7.4% ,19483 ,613 ,1965.9 ,61.9 ,3.1% 
Region de Maule ,1131939 ,15099 ,1 ,704 ,1505 ,9.5% ,15804 ,475 ,1396.2 ,42.0 ,3.0% 
Region del Nuble ,511551 ,6134 ,2 ,1859 ,796 ,10.0% ,7995 ,159 ,1562.9 ,31.1 ,2.0% 
Region de Biobio ,1663696 ,22503 ,177 ,3724 ,1601 ,6.1% ,26404 ,472 ,1587.1 ,28.4 ,1.8% 
Region de la Araucania ,1014343 ,6907 ,4 ,144 ,735 ,10.4% ,7055 ,259 ,695.5 ,25.5 ,3.7% 
Region de LOs Rios ,405835 ,1666 ,7 ,48 ,179 ,10.4% ,1721 ,41 ,424.1 ,10.1 ,2.4% 
Region de Los Lagos ,891440 ,8605 ,51 ,625 ,1715 ,18.5% ,9281 ,179 ,1041.1 ,20.1 ,1.9% 
Region de Aysen del General Carlos lbanez del Campo ,107297 ,300 ,1 ,O ,60 ,19.9% ,301 ,5 ,280.5 ,4.7 ,1.7% 
Region de Magallanes y la Antartica Chilena ,178362 ,7441 ,29 ,287 ,892 ,11.5% ,7757 ,108 ,4349.0 ,60.6 ,1.4% 
Desconocida* ,- ,- ,54 ,- ,,- ,54 ,2 ,- ,- ,3.7% 
Total pais ,19458310 ,437337 ,16531 ,59096 ,27636 ,5.4% ,512964 ,16996 ,2636.2 ,87.3 ,3.3% 
