Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Ancud ,42458 ,113 ,266.1 ,O ,0.0 ,0 ,0.0 
Calbuco ,& 36744 ,308 ,838.2 ,54 ,147.0 ,54 ,147.0 
Castro ,47607 ,31 ,65.1 ,1 ,2.1 ,1 ,2.1 
Chaiten ,5020 ,15 ,298.8 ,3 ,59.8 ,3 ,59.8 
Chonchi ,16013 ,1 ,6.2 ,O ,0.0 ,0 ,0.0 
Cochamo ,4006 ,23 ,574.1 ,1 ,25.0 ,1 ,25.0 
Curaco de Velez ,4066 ,18 ,442.7 ,0 ,0.0 ,0 ,0.0 
Dalcahue ,15069 ,8 ,53.1 ,O ,0.0 ,0 ,0.0 
Fresia ,12656 ,94 ,742.7 ,14 ,110.6 ,14 ,110.6 
Frutillar ,20223 ,271 ,1340.1 ,60 ,296.7 ,60 ,296.7 
Futaleufu ,2806 ,1 ,35.6 ,0 ,0.0 ,0 ,0.0 
Hualaihue ,9525 ,25 ,262.5 ,5 ,52.5 ,5 ,52.5 
Llanquihue ,& 18621 ,194 ,1041.8 ,25 ,134.3 ,25 ,134.3 
LOs Muermos ,& 17817 ,106 ,594.9 ,12 ,67.4 ,12 ,67.4 
Maullin ,14894 ,155 ,1040.7 ,45 ,302.1 ,45 ,302.1 
Osorno ,& 173410 ,1088 ,627.4 ,127 ,73.2 ,127 ,73.2 
Palena ,& 1827 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
Puerto Montt ,& 269398 ,2911 ,1080.6 ,335 ,124.4 ,335 ,124.4 
Puerto Octay ,& 9192 ,60 ,652.7 ,14 ,152.3 ,14 ,152.3 
Puerto Varas ,48620 ,259 ,532.7 ,24 ,49.4 ,24 ,49.4 
Puqueldon ,4201 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
