,,,,,,,,,Numerode,CasossegunFecha,deIniciode,Sintomas.,NotificacionoToma,de,Muestra,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE SE 13 14 15 ,SE 16 ,SE SE SE 17 18 19 ,SE 20 ,SE SE 21 22 ,SE 23 ,SE SE 24 25 ,SE 26 ,SE SE 27 28 
Algarrobo ,15174 ,101 ,665.6 ,6 ,39.5 ,2 ,13.2 ,2 ,13.2 ,O 0 1 4 ,4 0 0 ,0 ,2 4 6 ,13 ,10 7 ,19 ,18 6 ,6 ,1 0 
Cabildo& ,20663 ,229 ,1108.3 ,16 ,77.4 ,29 ,140.3 ,29 ,140.3 ,O O 0 0 ,O 0 0 ,0 ,5 3 4 ,6 ,7 16 ,21 ,38 51 ,57 ,18 3 
Calera& ,53591 ,450 ,839.7 ,11 ,20.5 ,101 ,188.5 ,101 ,188.5 ,0 0 O 1 ,6 3 4 ,7 ,2 2 7 ,18 ,22 22 ,49 ,60 86 ,83 ,70 8 
Calle Larga& ,16482 ,216 ,1310.5 ,0 ,0.0 ,34 ,206.3 ,34 ,206.3 ,1 0 0 0 ,0 2 3 ,1 ,0 4 3 ,9 ,29 27 ,28 ,24 25 ,35 ,22 3 
Cartagena ,25357 ,142 ,560.0 ,3 ,11.8 ,15 ,59.2 ,15 ,59.2 ,0 O 0 0 ,0 2 0 ,1 ,5 5 12 ,7 ,17 11 ,17 ,19 20 ,16 ,10 0 
Casablanca& ,29170 ,151 ,517.7 ,0 ,0.0 ,18 ,61.7 ,18 ,61.7 ,0 0 0 2 ,0 1 1 ,0 ,0 O 9 ,9 ,9 13 ,21 ,24 22 ,26 ,12 2 
Catemu ,15213 ,86 ,565.3 ,1 ,6.6 ,14 ,92.0 ,14 ,92.0 ,0 0 O 1 ,0 O 0 ,0 ,0 1 1 ,7 ,3 14 ,15 ,14 3 ,18 ,8 1 
Con Con& ,45889 ,402 ,876.0 ,5 ,10.9 ,96 ,209.2 ,96 ,209.2 ,0 0 0 4 ,6 2 1 ,0 ,11 6 9 ,16 ,19 27 ,53 ,46 52 ,76 ,60 14 
EI Quisco ,17742 ,139 ,783.5 ,3 ,16.9 ,28 ,157.8 ,28 ,157.8 ,0 0 0 1 ,O 4 2 ,4 ,0 5 9 ,14 ,15 15 ,18 ,11 7 ,12 ,22 0 
EI Tabo& ,14338 ,182 ,1269.4 ,6 ,41.8 ,26 ,181.3 ,26 ,181.3 ,0 0 0 0 ,5 O 2 ,3 ,3 4 7 ,6 ,16 26 ,18 ,20 22 ,31 ,16 3 
Hijuelas& ,19099 ,119 ,623.1 ,3 ,15.7 ,22 ,115.2 ,22 ,115.2 ,0 0 O 0 ,0 0 1 ,0 ,0 0 0 ,8 ,10 14 ,13 ,13 20 ,23 ,15 2 
Isla de Pascua ,8277 ,5 ,60.4 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 2 ,1 2 0 ,0 ,0 0 0 ,0 ,0 0 ,0 ,0 0 ,0 ,0 0 
Juan Fernandez ,1033 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O 0 0 ,O O 0 ,O ,0 O 0 ,O ,0 0 ,0 ,O O ,0 ,O 0 
La Cruz& ,25321 ,123 ,485.8 ,2 ,7.9 ,20 ,79.0 ,20 ,79.0 ,0 1 0 1 ,2 3 1 ,0 ,1 8 8 ,4 ,5 13 ,15 ,11 13 ,24 ,12 1 
La Ligua ,37739 ,255 ,675.7 ,10 ,26.5 ,40 ,106.0 ,40 ,106.0 ,0 0 0 1 ,1 1 0 ,1 ,0 1 3 ,10 ,17 27 ,32 ,51 33 ,41 ,30 6 
Limache& ,49931 ,611 ,1223.7 ,13 ,26.0 ,113 ,226.3 ,110 ,220.3 ,0 0 O 3 ,O 5 9 ,6 ,1 7 25 ,32 ,25 36 ,83 ,100 108 ,79 ,80 12 
Llaillay& ,26533 ,232 ,874.4 ,5 ,18.8 ,31 ,116.8 ,31 ,116.8 ,0 0 0 1 ,1 0 0 ,0 ,1 2 5 ,29 ,23 25 ,35 ,25 33 ,28 ,20 4 
Los Andes& ,68093 ,819 ,1202.8 ,25 ,36.7 ,101 ,148.3 ,100 ,146.9 ,0 0 0 2 ,2 0 4 ,0 ,2 10 21 ,56 ,84 94 ,141 ,117 111 ,91 ,69 15 
Nogales& ,23490 ,100 ,425.7 ,1 ,4.3 ,23 ,97.9 ,22 ,93.7 ,0 0 0 0 ,O 0 0 ,0 ,0 2 4 ,6 ,6 7 ,9 ,16 19 ,13 ,17 1 
Olmue& ,19266 ,100 ,519.0 ,2 ,10.4 ,17 ,88.2 ,17 ,88.2 ,0 0 0 0 ,0 1 1 ,1 ,0 0 2 ,5 ,11 7 ,14 ,21 15 ,8 ,12 2 
