,,,CasosAcumulados,,,Casos,Tasaincidencia,Tasamortalidad,Tasa
Zona de Chile ,Poblacion ,Confirmados Notificados ,Confirmados No Notificados ,Probables ,Total ,Fallecidos ,acumulada ,acumulada ,Letalidad 
Region de Arica y Parinacota ,252110 ,4335 ,8 ,254 ,4597 ,58 ,1823.4 ,23.0 ,1.3% 
Region de Tarapaca ,382773 ,8395 ,402 ,262 ,9059 ,163 ,2366.7 ,42.6 ,1.8% 
Region de Antofagasta ,691854 ,14538 ,216 ,591 ,15345 ,354 ,2218.0 ,51.2 ,2.3% 
Region de Atacama ,314709 ,2679 ,18 ,26 ,2723 ,11 ,865.2 ,3.5 ,0.4% 
Region de Coquimbo ,836096 ,6198 ,135 ,614 ,6947 ,67 ,830.9 ,8.0 ,1.0% 
Region de Valparaiso ,1960170 ,17154 ,426 ,4819 ,22399 ,515 ,1142.7 ,26.3 ,2.3% 
Region Metropolitana de Santiago ,8125072 ,238541 ,17300 ,28399 ,284240 ,7817 ,3498.3 ,96.2 ,2.8% 
Region del Libertador General Bernardo OHiggins ,991063 ,10512 ,99 ,1771 ,12382 ,236 ,1249.4 ,23.8 ,1.9% 
Region de Maule ,1131939 ,8996 ,46 ,639 ,9681 ,170 ,855.3 ,15.0 ,1.8% 
Region del Nuble ,511551 ,3525 ,4 ,777 ,4306 ,62 ,841.8 ,12.1 ,1.4% 
Region de Biobio ,1663696 ,11149 ,168 ,1138 ,12455 ,117 ,748.6 ,7.0 ,0.9% 
Region de la Araucania ,1014343 ,4095 ,2 ,40 ,4137 ,73 ,407.9 ,7.2 ,1.8% 
Region de Los Rios ,405835 ,898 ,6 ,12 ,916 ,12 ,225.7 ,3.0 ,1.3% 
Region de Los Lagos ,891440 ,3848 ,59 ,232 ,4139 ,39 ,464.3 ,4.4 ,0.9% 
Region de Aysen del General Carlos lbanez del Campo ,107297 ,80 ,0 ,0 ,80 ,O ,74.6 ,0.0 ,0.0% 
Region de Magallanes y la Antartica Chilena ,178362 ,1691 ,71 ,20 ,1782 ,28 ,999.1 ,15.7 ,1.6% 
Desconocida *k ,- ,0 ,73 ,0 ,73 ,0 ,-- ,-- ,0.0% 
Total pais ,19458310 ,336634 ,19033 ,39594 ,395261 ,9722 ,2031.3 ,50.0 ,2.5% 
