,,NumerodeCasos,segunFecha,deInicio,deSintomas
,Residencia ,SE SE SE ,SE SE SE ,SE ,SE SE SE SE 
SEREMI de Notificacion ,Desconocida ,9 10 11 ,12 13 14 ,15 ,16 17 18 19 
SEREMI De Arica y Parinacota ,O ,O O O ,O O O ,O ,O O O O 
SEREMI De Tarapaca ,0 ,O O O ,O O O ,0 ,O O O O 
SEREMI De Antofagasta ,O ,O O O ,O O O ,O ,O O O O 
SEREMI De Atacama ,O ,O O O ,O O O ,O ,O O O O 
SEREMI De Coquimbo ,0 ,O O O ,O 0 O ,O ,O O O O 
SEREM De Valparaiso ,1 ,O O O ,O 1 O ,O ,O O O O 
SEREMI Metropolitana de Santiago ,2 ,O O O ,O O O ,O ,1 1 O O 
SEREMI Del Libertador Gral B OHiggins ,O ,O O O ,O O O ,O ,O O O O 
SEREMI De Maule ,O ,O O O ,O O O ,O ,O O O O 
SEREMI Del Nuble ,0 ,O O O ,O O O ,O ,O O O O 
SEREMI De Biobio ,O ,O O O ,O 0 O ,O ,O 0 O O 
SEREMI De La Araucania ,O ,O O O ,O O O ,O ,O O O O 
SEREMI De Los Rios ,O ,O O O ,O O O ,O ,O O O O 
SEREMI De Los Lagos ,21 ,O O 9 ,10 1 1 ,O ,O O O O 
SEREMI De Aisen del General Carlos ibanez del Campo ,1 ,O O 1 ,O O O ,O ,O 0 0 O 
SEREMI De Magallanes y la Antartica Chilena ,O ,O O O ,O 0 O ,0 ,0 0 0 O 
Total pais ,25 ,0 0 10 ,10 2 1 ,0 ,1 1 0 0 
