,,,,,,NumerodeCasos,segunFechade,IniciodeSintomas
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE 9 10 11 12 13 14 15 
Andacollo ,11791 ,3 ,25.4 ,3 ,25.4 ,3 ,25.4 ,0 0 0 O O O O 
Canela ,9546 ,1 ,10.5 ,1 ,10.5 ,1 ,10.5 ,O O O O O O O 
Combarbala ,13884 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O O O O O 
Coquimbo8 ,256735 ,35 ,13.6 ,9 ,3.5 ,9 ,3.5 ,O 0 4 13 3 1 O 
Illape ,32801 ,19 ,57.9 ,1 ,3.0 ,1 ,3.0 ,0 0 O O 4 7 7 
La Higuera ,4450 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 0 O O O O O 
La Serena& ,249656 ,33 ,13.2 ,12 ,4.8 ,12 ,4.8 ,O O 1 3 6 4 2 
LOs Vilos ,23374 ,1 ,4.3 ,O ,0.0 ,O ,0.0 ,0 0 O 1 O O O 
Monte Patria ,32527 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O O O O O 
Ovalle& ,121269 ,16 ,13.2 ,5 ,4.1 ,5 ,4.1 ,0 0 2 2 4 1 O 
Paiguano ,4675 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 O O O O O 
Punitaqui ,12165 ,5 ,41.1 ,4 ,32.9 ,4 ,32.9 ,0 0 O O O O O 
Rio Hurtado ,4372 ,1 ,22.9 ,0 ,0.0 ,O ,0.0 ,O O O 1 O O O 
Salamanca ,29110 ,9 ,30.9 ,2 ,6.9 ,2 ,6.9 ,0 O O 1 2 1 2 
Vicuna ,29741 ,1 ,3.4 ,1 ,3.4 ,1 ,3.4 ,0 O O O O O O 
Total ,836096 ,124 ,14.8 ,38 ,4.5 ,38 ,4.5 ,0 0 7 21 19 14 11 
