,SinHospitalizacion,,Hospitalizados,
Signos / Sintoma ,No ,% ,No ,% 
Cefalea ,209441 ,59.9 ,8531 ,32.2 
Mialgia ,196081 ,56.1 ,10839 ,40.9 
Tos ,195214 ,55.8 ,15994 ,60.3 
Fiebre ,124709 ,35.7 ,12559 ,47.4 
Odinofagia ,115922 ,33.1 ,4313 ,16.3 
Anosmia* ,65391 ,18.7 ,1390 ,5.2 
Ageusia* ,51857 ,14.8 ,1185 ,4.5 
Disnea ,39853 ,11.4 ,12216 ,46.1 
Diarrea ,35999 ,10.3 ,2300 ,8.7 
Dolor toracico ,32231 ,9.2 ,3079 ,11.6 
Dolor abdominal ,21278 ,6.1 ,1806 ,6.8 
Taquipnea ,3926 ,1.1 ,3757 ,14.2 
Cianosis ,347 ,0.1 ,634 ,2.4 
