Region,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos,SE9(23al29defebrero),SE10(1al7demarzo),SE11(8al14demarzo),SE12(15al21demarzo),SE13(22al28demarzo),SE14(29demarzoal4deabril),SE15(4deabrilal11deabril)
Alto del Carmen ,5729 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,O ,0 ,0 ,0 ,0 ,0 
Caldera ,19426 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,O ,0 ,0 ,0 ,O ,0 
Chanaral ,13164 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,O ,0 ,O ,0 ,O ,0 
Copiapo ,171766 ,8 ,4.7 ,5 ,2.9 ,5 ,2.9 ,O ,O ,1 ,0 ,2 ,2 ,3 
Diego de Almagro ,14358 ,1 ,7.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
Freirina ,7681 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0 ,O ,0 ,0 ,O ,O 
Huasco ,11264 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,O ,0 ,O ,0 
Tierra Amarilla ,14312 ,4 ,27.9 ,4 ,27.9 ,4 ,27.9 ,O ,O ,O ,0 ,0 ,2 ,2 
Vallenar ,57009 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,O ,0 ,0 ,0 ,0 ,O 
Total ,314709 ,13 ,4.1 ,9 ,2.9 ,9 ,2.9 ,0 ,0 ,1 ,0 ,3 ,4 ,5 
