Region,Poblacion,Confirmados,Tasaincidencia
Pirque ,30433 ,9 ,29.6 
Providencia ,157749 ,129 ,81.8 
Pudahuel ,253139 ,67 ,26.5 
Puente Alto ,645909 ,239 ,37.0 
Quilicura ,254694 ,79 ,31.0 
Quinta Normal ,136368 ,69 ,50.6 
Recoleta ,190075 ,61 ,32.1 
Renca ,160847 ,28 ,17.4 
San Bernardo ,334836 ,117 ,34.9 
San Joaquin ,103485 ,52 ,50.2 
San Jose de Maipo ,18644 ,4 ,21.5 
San Miguel ,133059 ,69 ,51.9 
San Pedro ,11953 ,- ,0.0 
San Ramon ,86510 ,18 ,20.8 
Santiago ,503147 ,321 ,63.8 
Talagante ,81838 ,18 ,22.0 
Tiltil ,21477 ,4 ,18.6 
Vitacura ,96774 ,119 ,123.0 
Por determinar ,- ,13 ,- 
Total ,8125072 ,3193 ,39.3 
