,,,,,,,Numero,deCasos,segunFecha,deInicio,deSintomas,,,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (5 de abril al 11 de abril) ,SE 16 (12 de abril al 18 de abril) 
Ancud ,42458 ,3 ,7.1 ,3 ,7.1 ,3 ,7.1 ,O ,0 ,0 ,0 ,0 ,O ,3 ,O 
Calbuco ,36744 ,5 ,13.6 ,0 ,0.0 ,O ,0.0 ,O ,0 ,1 ,3 ,1 ,O ,O ,O 
Castro ,47607 ,7 ,14.7 ,4 ,8.4 ,4 ,8.4 ,O ,O ,O ,2 ,0 ,5 ,O ,0 
Chaiten ,5020 ,1 ,19.9 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,O ,0 ,1 ,O ,O ,O 
Chonchi ,16013 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,0 ,0 ,O ,0 ,O 
Cochamo ,4006 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0 ,O ,O ,0 ,O ,0 ,O 
Curaco de Velez ,4066 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O ,O ,O ,0 ,O ,O ,O 
Dalcahue ,15069 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,0 ,0 ,O ,0 ,O ,O ,O 
Fresia ,12656 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,0 ,O ,O ,0 ,O ,0 ,0 
Frutillar ,20223 ,6 ,29.7 ,4 ,19.8 ,4 ,19.8 ,O ,0 ,0 ,0 ,1 ,3 ,2 ,0 
Futaleufu ,2806 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,0 ,0 ,0 ,O ,0 ,0 
Hualaihue ,9525 ,3 ,31.5 ,0 ,0.0 ,O ,0.0 ,O ,0 ,O ,O ,3 ,O ,O ,O 
Llanquihue ,18621 ,1 ,5.4 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
Los Muermos ,17817 ,1 ,5.6 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,0 ,1 ,0 ,O ,0 ,O 
Maullin ,14894 ,1 ,6.7 ,1 ,6.7 ,1 ,6.7 ,0 ,0 ,0 ,O ,0 ,1 ,O ,O 
Osorno ,173410 ,241 ,139.0 ,49 ,28.3 ,44 ,25.4 ,O ,0 ,3 ,56 ,106 ,53 ,23 ,O 
Palena ,1827 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,O ,0 ,0 ,O ,O ,O ,O 
Puerto Montt ,269398 ,73 ,27.1 ,10 ,3.7 ,10 ,3.7 ,O ,1 ,11 ,26 ,21 ,12 ,2 ,O 
Puerto Octay ,9192 ,1 ,10.9 ,O ,0.0 ,O ,0.0 ,O ,0 ,0 ,1 ,0 ,O ,O ,O 
Puerto Varas ,48620 ,7 ,14.4 ,3 ,6.2 ,3 ,6.2 ,O ,0 ,1 ,O ,1 ,3 ,2 ,0 
