,,,,,,Numerode,Casossegun,FechadeInicio,de,Sintomas
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE 12 13 ,SE SE 14 15 
Ancud& ,42458 ,48 ,113.1 ,37 ,87.1 ,37 ,87.1 ,,,
Calbuco ,36744 ,8 ,21.8 ,1 ,2.7 ,1 ,2.7 ,,,
Castro ,47607 ,7 ,14.7 ,0 ,0.0 ,0 ,0.0 ,O 0 0 ,2 0 ,5 0 
Chaiten ,5020 ,1 ,19.9 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 1 ,0 0 
Chonchi ,16013 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,,,
Cochamo ,4006 ,1 ,25.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 0 ,0 1 
Curaco de Velez ,4066 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 0 ,0 0 
Dalcahue ,15069 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,,,
Fresia ,12656 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,,,
Frutillar ,20223 ,6 ,29.7 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 1 ,3 2 
Futaleufu ,2806 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 0 ,0 0 ,0 0 
Hualaihue ,9525 ,3 ,31.5 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 3 ,0 0 
Llanquihue ,18621 ,6 ,32.2 ,5 ,26.9 ,5 ,26.9 ,,,
Los Muermos ,17817 ,2 ,11.2 ,1 ,5.6 ,1 ,5.6 ,0 0 0 ,1 0 ,0 0 
Maullin ,14894 ,1 ,6.7 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 0 ,0 1 
Osorno& ,173410 ,324 ,186.8 ,24 ,13.8 ,24 ,13.8 ,O 0 3 ,58 103 ,66 37 
Palena ,1827 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,,,
Puerto Montt ,269398 ,54 ,20.0 ,2 ,0.7 ,2 ,0.7 ,,,
Puerto Octay ,9192 ,5 ,54.4 ,2 ,21.8 ,2 ,21.8 ,0 0 0 ,1 0 ,0 0 
Puerto Varas ,48620 ,8 ,16.5 ,0 ,0.0 ,0 ,0.0 ,,,
Puqueldon ,4201 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 0 ,0 0 
