,,,,,,,,Numero,deCasossegun,FechadeIniciodeSintomas.Notificacion,OToma,deMuestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 ,SE SE 18 19 ,SE SE 20 21 ,SE 22 ,SE SE 23 24 ,SE SE 25 26 
Alto Hospicio& ,129999 ,1982 ,1524.6 ,25 ,19.2 ,219 ,168.5 ,219 ,168.5 ,0 0 0 3 4 6 14 24 37 ,111 141 ,267 317 ,312 ,258 201 ,152 130 
Camina ,1375 ,29 ,2109.1 ,2 ,145.5 ,10 ,727.3 ,10 ,727.3 ,0 0 0 0 0 O 0 0 O ,0 0 ,0 3 ,8 ,4 2 ,4 8 
Colchane& ,1583 ,58 ,3663.9 ,2 ,126.3 ,20 ,1263.4 ,20 ,1263.4 ,0 0 0 0 0 O O 0 O ,0 O ,0 2 ,1 ,10 18 ,15 12 
Huara8 ,3000 ,68 ,2266.7 ,3 ,100.0 ,9 ,300.0 ,9 ,300.0 ,0 0 0 O O O 0 0 2 ,8 2 ,10 6 ,8 ,11 7 ,7 7 
Iquique& ,223463 ,3319 ,1485.3 ,65 ,29.1 ,418 ,187.1 ,417 ,186.6 ,0 0 O 9 7 14 11 21 42 ,104 258 ,401 501 ,453 ,441 450 ,394 205 
Pica& ,5958 ,91 ,1527.4 ,0 ,0.0 ,14 ,235.0 ,14 ,235.0 ,0 0 0 0 1 7 14 10 0 ,1 4 ,1 7 ,8 ,9 10 ,10 9 
Pozo Almonte& ,17395 ,396 ,2276.5 ,5 ,28.7 ,65 ,373.7 ,65 ,373.7 ,0 0 0 0 1 2 O O O ,3 5 ,14 38 ,57 ,89 102 ,60 19 
Desconocido& ,- ,295 ,- ,O ,- ,39 ,- ,39 ,- ,0 0 0 O O O 1 0 1 ,4 95 ,29 32 ,25 ,34 28 ,20 25 
Total ,382773 ,6238 ,1629.7 ,102 ,26.6 ,794 ,207.4 ,793 ,207.2 ,0 0 0 12 13 29 40 55 82 ,231 505 ,722 906 ,872 ,856 818 ,662 415 
