,,,,,,,,Numerode,Casossegun,FechadeIniciode,Sintomas.,NotificacionoTomade,Muestra,,
,,Numero de ,Tasa ,Numero de ,Tasa de ,Numero de ,Tasa de ,Numero de ,Tasa de ,SE SE SE SE ,SE SE ,SE SE SE SE ,SE SE ,SE SE SE ,SE SE SE 
Comuna ,Poblacion ,Casos Confirmados ,incidencia acumulada ,Fallecidos ,Mortalidad ,Casos Actuales ,Incidencia Actual ,Casos Activos ,Incidencia Activos ,9 10 11 12 ,13 14 ,15 16 17 18 ,19 20 ,21 22 23 ,24 25 26 
Antartica ,137 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 0 O 0 ,O O ,O O 0 O ,O O ,O O O ,O 0 0 
Cabo de Hornos ,1983 ,22 ,1109.4 ,0 ,0.0 ,1 ,50.4 ,1 ,50.4 ,0 0 2 6 ,4 1 ,6 O O 0 ,1 0 ,1 O 0 ,0 0 1 
Laguna Blanca ,264 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 0 O 0 ,O O ,O O O 0 ,O 0 ,0 O 0 ,0 O 0 
Natales ,23782 ,42 ,176.6 ,O ,0.0 ,21 ,88.3 ,21 ,88.3 ,0 O 1 3 ,4 O ,1 1 O 4 ,O 3 ,3 O O ,0 5 17 
Porvenir ,7323 ,10 ,136.6 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O 0 ,3 1 ,2 2 O O ,1 O ,O O 1 ,O O O 
Primavera ,694 ,3 ,432.3 ,0 ,0.0 ,1 ,144.1 ,1 ,144.1 ,0 0 O 0 ,0 0 ,1 O 0 O ,O 0 ,O O 1 ,0 1 0 
Punta Arenas& ,141984 ,1327 ,934.6 ,22 ,15.5 ,111 ,78.2 ,111 ,78.2 ,0 2 5 66 ,121 148 ,156 133 86 108 ,82 52 ,51 24 35 ,123 82 50 
Rio Verde ,211 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 0 O 0 ,O O ,O O O O ,O O ,0 O O ,0 0 O 
San Gregorio ,681 ,2 ,293.7 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 0 O 0 ,O O ,0 0 O O ,2 O ,0 O O ,O 0 O 
Timaukel ,282 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 O 0 ,O O ,0 0 O O ,0 0 ,0 O O ,O 0 0 
Torres del Paine ,1021 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 0 O 0 ,0 O ,0 0 0 0 ,0 0 ,0 O O ,0 0 O 
Desconocido& ,- ,68 ,- ,0 ,- ,2 ,- ,2 ,- ,0 0 O 0 ,O 1 ,42 15 5 1 ,1 O ,O O O ,1 1 1 
Total ,178362 ,1474 ,826.4 ,22 ,12.3 ,136 ,76.2 ,136 ,76.2 ,0 2 8 75 ,132 151 ,208 151 91 113 ,87 55 ,55 24 37 ,124 89 69 
