,,,,,,NumerodeCasos,segunFecha,deIniciode,Sintomas,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Task de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE SE SE SE SE 14 15 16 17 18 
Ancud ,42458 ,9 ,21.2 ,4 ,9.4 ,4 ,9.4 ,0 O 0 O ,O ,O 5 3 1 0 
Calbuco ,36744 ,7 ,19.1 ,1 ,2.7 ,1 ,2.7 ,O O O 3 ,1 ,1 1 1 O O 
Castro ,47607 ,7 ,14.7 ,O ,0.0 ,O ,0.0 ,O O O 2 ,O ,5 O O 0 O 
Chaiten ,5020 ,1 ,19.9 ,O ,0.0 ,O ,0.0 ,0 O 0 0 ,1 ,O O O 0 0 
Chonchi ,16013 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O ,O O O O 0 
Cochamo ,4006 ,1 ,25.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O ,O 1 O O O 
Curaco de Velez ,4066 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O 0 O ,O ,O O O 0 O 
Dalcahue ,15069 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O ,O O O O O 
Fresia ,12656 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O 0 ,O ,O O O O O 
Frutillar ,20223 ,6 ,29.7 ,O ,0.0 ,O ,0.0 ,0 O 0 0 ,1 ,3 2 O O 0 
Futaleufu ,2806 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O 0 0 O ,0 ,O 0 0 0 0 
Hualaihue ,9525 ,3 ,31.5 ,O ,0.0 ,0 ,0.0 ,O O O O ,3 ,O O O O O 
Llanquihue ,18621 ,1 ,5.4 ,O ,0.0 ,O ,0.0 ,O O O O ,1 ,O O O O O 
Los Muermos ,17817 ,1 ,5.6 ,O ,0.0 ,O ,0.0 ,O O 0 1 ,O ,O O O 0 O 
Maullin ,14894 ,1 ,6.7 ,O ,0.0 ,O ,0.0 ,0 O 0 O ,O ,O 1 O O O 
Osorno ,173410 ,282 ,162.6 ,24 ,13.8 ,24 ,13.8 ,O O 3 57 ,102 ,58 34 19 9 0 
Palena ,1827 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O ,O O O O O 
Puerto Montt ,269398 ,73 ,27.1 ,4 ,1.5 ,4 ,1.5 ,O 1 10 23 ,19 ,12 3 5 O O 
Puerto Octay ,9192 ,4 ,43.5 ,3 ,32.6 ,3 ,32.6 ,O O O 1 ,O ,O O 2 1 O 
Puerto Varas ,48620 ,9 ,18.5 ,O ,0.0 ,O ,0.0 ,O O 1 O ,2 ,4 2 O O 0 
Puqueldon ,4201 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 O O O ,O ,O O O O 0 
