,Hospitalizados,,SinHospitalizacion,
Comorbilidades ,NO ,% ,No ,% 
Hipertension Arterial ,11227 ,32.4 ,43518 ,11.4 
Diabetes ,6987 ,20.1 ,21327 ,5.6 
Otra ,4592 ,13.2 ,22566 ,5.9 
Obesidad ,2433 ,7.0 ,11180 ,2.9 
Enfermedad Renal Cronica ,1503 ,4.3 ,1917 ,0.5 
Enfermedad Cardiovascular ,1414 ,4.1 ,2659 ,0.7 
Cardiopatia Cronica ,1388 ,4.0 ,2156 ,0.6 
Enfermedad Pulmonar Cronica ,1331 ,3.8 ,2517 ,0.7 
Asma ,1152 ,3.3 ,10726 ,2.8 
Enfermedad Neurologica Cronica ,910 ,2.6 ,1380 ,0.4 
nmunocomprometido ,873 ,2.5 ,1744 ,0.5 
Enfermedad Hepatica Cronica ,382 ,1.1 ,320 ,0.1 
