,SinHospitalizacion,,Hospitalizados,
Signos / Sintoma ,No ,% ,No ,% 
Cefalea ,190147 ,60.7 ,7522 ,32.4 
Mialgia ,178872 ,57.1 ,9582 ,41.3 
Tos ,178583 ,57.0 ,14112 ,60.8 
Fiebre ,115332 ,36.8 ,11213 ,48.3 
Odinofagia ,105254 ,33.6 ,3851 ,16.6 
"Anosmia"" ",58809 ,18.8 ,1193 ,5.1 
Ageusia' ,46592 ,14.9 ,1008 ,4.3 
Disnea ,36522 ,11.7 ,10761 ,46.4 
Diarrea ,32570 ,10.4 ,1988 ,8.6 
Dolor toracico ,29517 ,9.4 ,2674 ,11.5 
Dolor abdominal ,19172 ,6.1 ,1567 ,6.8 
Taquipnea ,3623 ,1.2 ,3335 ,14.4 
Cianosis ,341 ,0.1 ,555 ,2.4 
