,,,,,,,,Numero,deCasos,segunFechadeIniciodeSintomas.,Notificaciono,Toma,deMuestra,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE 9 10 11 12 13 14 15 ,SE SE SE 16 17 18 ,SE SE 19 20 ,SE 21 ,SE SE 22 23 ,SE 24 ,SE SE 25 26 ,SE 27 
Cauquenes& ,44143 ,317 ,718.1 ,5 ,11.3 ,64 ,145.0 ,64 ,145.0 ,0 0 0 0 2 3 1 ,9 2 1 ,6 13 ,14 ,52 55 ,44 ,51 38 ,26 
Chanco ,9331 ,29 ,310.8 ,0 ,0.0 ,1 ,10.7 ,1 ,10.7 ,0 0 0 0 1 0 0 ,1 1 0 ,1 0 ,1 ,0 8 ,6 ,9 1 ,0 
Colbun ,22565 ,122 ,540.7 ,0 ,0.0 ,18 ,79.8 ,18 ,79.8 ,0 0 0 0 3 3 0 ,0 0 1 ,4 9 ,13 ,15 10 ,23 ,23 14 ,4 
Constitucion ,50348 ,199 ,395.2 ,3 ,6.0 ,70 ,139.0 ,69 ,137.0 ,0 O O 0 3 3 5 ,7 4 1 ,2 3 ,5 ,6 19 ,24 ,47 52 ,18 
Curepto ,9426 ,34 ,360.7 ,2 ,21.2 ,7 ,74.3 ,7 ,74.3 ,0 0 0 0 0 3 2 ,3 0 1 ,1 2 ,0 ,1 1 ,3 ,10 6 ,1 
Curico& ,163626 ,1504 ,919.2 ,17 ,10.4 ,267 ,163.2 ,267 ,163.2 ,0 1 2 3 6 3 12 ,10 10 12 ,20 44 ,149 ,192 275 ,263 ,235 215 ,52 
Empedrado ,4206 ,26 ,618.2 ,0 ,0.0 ,4 ,95.1 ,4 ,95.1 ,0 O 0 0 0 0 0 ,O O 0 ,O 0 ,0 ,0 2 ,6 ,14 4 ,O 
Hualane ,10222 ,113 ,1105.5 ,2 ,19.6 ,5 ,48.9 ,5 ,48.9 ,0 O 0 0 0 0 0 ,1 0 0 ,0 3 ,15 ,29 29 ,20 ,11 4 ,1 
Licanten ,6989 ,19 ,271.9 ,1 ,14.3 ,1 ,14.3 ,1 ,14.3 ,0 O O 0 0 1 0 ,1 0 O ,O O ,O ,2 5 ,4 ,5 1 ,0 
Linares& ,101073 ,437 ,432.4 ,7 ,6.9 ,114 ,112.8 ,114 ,112.8 ,1 O O 2 5 5 4 ,6 3 4 ,13 17 ,18 ,30 42 ,81 ,92 78 ,36 
Longavi ,32810 ,195 ,594.3 ,2 ,6.1 ,27 ,82.3 ,27 ,82.3 ,0 O O 1 0 1 1 ,1 O 2 ,5 12 ,11 ,23 28 ,51 ,32 20 ,7 
Maule ,60000 ,257 ,428.3 ,O ,0.0 ,60 ,100.0 ,60 ,100.0 ,0 O 0 1 1 2 6 ,13 2 O ,3 13 ,13 ,30 31 ,34 ,48 41 ,19 
Molina& ,49800 ,188 ,377.5 ,5 ,10.0 ,53 ,106.4 ,52 ,104.4 ,O O O 1 2 O 1 ,3 O O ,2 4 ,9 ,22 24 ,23 ,44 48 ,5 
Parral& ,44544 ,230 ,516.3 ,1 ,2.2 ,21 ,47.1 ,20 ,44.9 ,0 O O 1 3 2 2 ,2 O O ,6 7 ,42 ,56 33 ,25 ,30 19 ,2 
Pelarco ,9083 ,41 ,451.4 ,1 ,11.0 ,4 ,44.0 ,4 ,44.0 ,0 O O 0 0 0 3 ,2 O 2 ,4 5 ,4 ,5 6 ,3 ,3 3 ,1 
Pelluhue& ,8092 ,57 ,704.4 ,1 ,12.4 ,1 ,12.4 ,1 ,12.4 ,0 O O 1 O 0 1 ,O O O ,1 7 ,1 ,9 12 ,14 ,10 1 ,0 
Pencahue ,8601 ,36 ,418.6 ,O ,0.0 ,8 ,93.0 ,8 ,93.0 ,O O O O 0 O O ,3 O O ,O 0 ,8 ,4 3 ,7 ,3 6 ,2 
Rauco ,11248 ,56 ,497.9 ,0 ,0.0 ,14 ,124.5 ,14 ,124.5 ,0 O O 0 1 1 0 ,1 O O ,1 1 ,7 ,6 6 ,15 ,3 10 ,4 
Retiro& ,21071 ,124 ,588.5 ,0 ,0.0 ,19 ,90.2 ,19 ,90.2 ,0 O O 0 0 0 1 ,O 0 1 ,O 1 ,17 ,42 13 ,18 ,12 10 ,9 
Rio Claro ,14753 ,64 ,433.8 ,3 ,20.3 ,21 ,142.3 ,21 ,142.3 ,0 O O 2 O 1 1 ,3 2 0 ,2 2 ,1 ,8 3 ,4 ,14 12 ,9 
