Comuna,No,Poblacion,Tasa
Angol ,7 ,56058 ,12.5 
Carahue ,- ,25486 ,3.9 
Cholchol ,- ,12341 ,8.1 
Collipulli ,- ,26148 ,0.0 
Cunco ,- ,18055 ,0.0 
Curacautin ,- ,18178 ,0.0 
Curarrehue ,- ,7802 ,12.8 
Ercilla ,- ,8458 ,0.0 
Freire ,- ,25446 ,7.9 
Galvarino ,- ,12633 ,7.9 
Gorbea ,4 ,15148 ,26.4 
Lautaro ,- ,40746 ,4.9 
Loncoche ,- ,24739 ,8.1 
Lonquimay ,- ,11049 ,0.0 
LOs Sauces ,- ,7517 ,0.0 
Lumaco ,- ,10050 ,0.0 
Melipeuco ,- ,6265 ,0.0 
Nueva Imperial ,- ,33777 ,0.0 
Padre Las Casas ,9 ,82110 ,11.0 
Perquenco ,- ,7223 ,13.8 
Pitrufquen ,4 ,26096 ,15.3 
Pucon ,- ,29782 ,10.1 
Puren ,- ,12188 ,0.0 
Renaico ,- ,10833 ,0.0 
Saavedra ,- ,12793 ,0.0 
Temuco ,154 ,302931 ,50.8 
Teodoro Schmidt ,- ,15786 ,0.0 
Tolten ,- ,10055 ,9.9 
Traiguen ,- ,19314 ,0.0 
Victoria ,5 ,35467 ,14.1 
Vilcun ,4 ,30766 ,13.0 
Villarrica ,- ,59103 ,1.7 
Total ,203 ,1014343 ,20.0 
