Comuna,Proporcioninvestigados,decasosantesde,nuevos48hrs,Proporciondecontactos,casosconidentificados,Proporcioninvestigados,decontactosantesde,nuevos48hrs
,Casos Nuevos ,Investigados ,% ,Casos con Contactos ,% ,Contactos Nuevos ,Investigados ,% 
Algarrobo ,1 ,1 ,100 ,1 ,100 ,3 ,1 ,333 
Cabildo ,28 ,25 ,893 ,22 ,786 ,37 ,37 ,100 
Calera ,102 ,92 ,902 ,83 ,814 ,53 ,53 ,100 
Calle Larga ,22 ,11 ,500 ,10 ,455 ,92 ,92 ,100 
Cartagena ,6 ,6 ,100 ,6 ,100 ,16 ,13 ,813 
Casablanca ,48 ,42 ,875 ,39 ,813 ,190 ,135 ,711 
Catemu ,25 ,25 ,100 ,24 ,960 ,71 ,71 ,100 
Con Con ,31 ,29 ,935 ,27 ,871 ,42 ,42 ,100 
EI Quisco ,7 ,7 ,100 ,6 ,857 ,11 ,9 ,818 
EI Tabo ,5 ,5 ,100 ,5 ,100 ,9 ,8 ,889 
Hijuelas ,17 ,16 ,941 ,14 ,824 ,41 ,41 ,100 
Isla de Pascua ,- ,- ,- ,- ,- ,- ,- ,- 
Juan Fernandez ,- ,- ,- ,- ,- ,- ,- ,- 
La Cruz ,18 ,17 ,944 ,17 ,944 ,34 ,34 ,100 
La Ligua ,54 ,49 ,907 ,39 ,722 ,94 ,77 ,819 
Limache ,68 ,63 ,926 ,58 ,853 ,40 ,40 ,100 
Llaillay ,23 ,22 ,957 ,22 ,957 ,33 ,31 ,939 
Los Andes ,25 ,24 ,960 ,23 ,920 ,57 ,51 ,895 
Nogales ,23 ,22 ,957 ,19 ,826 ,85 ,78 ,918 
Olmue ,37 ,32 ,865 ,31 ,838 ,16 ,16 ,100 
Panquehue ,- ,- ,- ,- ,- ,- ,- ,- 
Papudo ,6 ,6 ,100 ,4 ,667 ,5 ,5 ,100 
Petorca ,4 ,3 ,750 ,3 ,750 ,32 ,32 ,100 
Puchuncavi ,7 ,7 ,100 ,7 ,100 ,21 ,20 ,952 
Putaendo ,7 ,6 ,857 ,6 ,857 ,51 ,51 ,100 
Quillota ,107 ,102 ,953 ,94 ,879 ,105 ,105 ,100 
Quilpue ,128 ,122 ,953 ,105 ,820 ,133 ,81 ,609 
Quintero ,6 ,6 ,100 ,5 ,833 ,10 ,9 ,900 
Rinconada ,- ,- ,- ,- ,- ,- ,- ,- 
San Antonio ,69 ,63 ,913 ,60 ,870 ,- ,- ,- 
San Esteban ,8 ,5 ,625 ,5 ,625 ,3 ,3 ,100 
San Felipe ,79 ,68 ,861 ,63 ,797 ,121 ,121 ,100 
Santa Maria ,9 ,8 ,889 ,7 ,778 ,13 ,13 ,100 
Santo Domingo ,2 ,2 ,100 ,2 ,100 ,51 ,34 ,667 
Valparaiso ,301 ,276 ,917 ,254 ,844 ,393 ,348 ,885 
Villa Alemana ,116 ,111 ,957 ,100 ,862 ,119 ,79 ,664 
Vina del Mar ,299 ,278 ,930 ,250 ,836 ,314 ,298 ,949 
Zapallar ,13 ,13 ,100 ,10 ,769 ,15 ,15 ,100 
Total ,1701 ,1564 ,919 ,1421 ,835 ,2310 ,2043 ,884 
