Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Cauquenes & ,44143 ,399 ,903.9 ,10 ,22.7 ,16 ,36.2 ,16 ,36.2 
Chanco ,9331 ,48 ,514.4 ,1 ,10.7 ,3 ,32.2 ,3 ,32.2 
Colbun ,22565 ,194 ,859.7 ,1 ,4.4 ,26 ,115.2 ,26 ,115.2 
Constitucion & ,50348 ,357 ,709.1 ,5 ,9.9 ,65 ,129.1 ,65 ,129.1 
Curepto ,9426 ,49 ,519.8 ,3 ,31.8 ,7 ,74.3 ,7 ,74.3 
Curico & ,163626 ,2065 ,1262.0 ,34 ,20.8 ,185 ,113.1 ,182 ,111.2 
Empedrado ,4206 ,32 ,760.8 ,0 ,0.0 ,2 ,47.6 ,2 ,47.6 
Hualane ,10222 ,115 ,1125.0 ,2 ,19.6 ,1 ,9.8 ,1 ,9.8 
Licanten ,6989 ,24 ,343.4 ,2 ,28.6 ,2 ,28.6 ,2 ,28.6 
Linares ,101073 ,706 ,698.5 ,14 ,13.9 ,94 ,93.0 ,94 ,93.0 
Longavi & ,32810 ,265 ,807.7 ,2 ,6.1 ,11 ,33.5 ,11 ,33.5 
Maule & ,60000 ,443 ,738.3 ,4 ,6.7 ,67 ,111.7 ,67 ,111.7 
Molina ,49800 ,272 ,546.2 ,11 ,22.1 ,33 ,66.3 ,33 ,66.3 
Parral ,44544 ,273 ,612.9 ,3 ,6.7 ,15 ,33.7 ,15 ,33.7 
Pelarco & ,9083 ,115 ,1266.1 ,2 ,22.0 ,40 ,440.4 ,40 ,440.4 
Pelluhue ,8092 ,68 ,840.3 ,2 ,24.7 ,6 ,74.1 ,6 ,74.1 
Pencahue ,8601 ,56 ,651.1 ,0 ,0.0 ,3 ,34.9 ,3 ,34.9 
Rauco & ,11248 ,108 ,960.2 ,1 ,8.9 ,16 ,142.2 ,16 ,142.2 
Retiro ,21071 ,144 ,683.4 ,O ,0.0 ,11 ,52.2 ,11 ,52.2 
Rio Claro & ,14753 ,100 ,677.8 ,6 ,40.7 ,24 ,162.7 ,24 ,162.7 
Romeral ,16170 ,256 ,1583.2 ,4 ,24.7 ,20 ,123.7 ,20 ,123.7 
