,,,,,,,,Numero,deCasossegun,FechadeIniciodeSintomas.NotificacionOTomadeMuestra,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 ,SE SE SE SE SE 24 25 26 27 28 
Alto del Carmen ,5729 ,8 ,139.6 ,0 ,0.0 ,1 ,17.5 ,1 ,17.5 ,0 0 O 0 0 0 0 0 0 0 0 0 0 1 3 ,1 1 1 1 0 
Caldera ,19426 ,48 ,247.1 ,0 ,0.0 ,13 ,66.9 ,13 ,66.9 ,0 0 O 0 0 0 0 0 0 2 2 1 1 3 2 ,7 5 17 7 1 
Chanaral ,13164 ,26 ,197.5 ,0 ,0.0 ,3 ,22.8 ,3 ,22.8 ,0 0 0 0 0 0 0 0 0 0 O 0 1 0 2 ,6 12 2 3 0 
Copiapo8 ,171766 ,892 ,519.3 ,4 ,2.3 ,213 ,124.0 ,213 ,124.0 ,0 O 1 0 2 1 4 0 12 27 27 14 26 57 113 ,122 147 158 151 30 
Diego de Almagro ,14358 ,49 ,341.3 ,2 ,13.9 ,14 ,97.5 ,14 ,97.5 ,1 0 0 0 1 0 0 0 0 1 1 4 3 6 4 ,8 4 4 9 3 
Freirina ,7681 ,33 ,429.6 ,O ,0.0 ,19 ,247.4 ,19 ,247.4 ,0 0 0 0 0 0 0 1 0 0 O 0 0 0 2 ,1 7 5 12 5 
Huasco ,11264 ,25 ,221.9 ,O ,0.0 ,5 ,44.4 ,5 ,44.4 ,0 O O 0 O 0 O O O 1 O 0 0 2 6 ,3 4 6 3 0 
Tierra Amarilla ,14312 ,85 ,593.9 ,0 ,0.0 ,17 ,118.8 ,17 ,118.8 ,0 0 0 0 0 2 3 O 2 5 10 2 0 1 10 ,15 14 6 13 2 
Vallenar& ,57009 ,353 ,619.2 ,O ,0.0 ,103 ,180.7 ,103 ,180.7 ,0 0 0 O 0 0 1 8 11 10 13 2 6 15 27 ,54 68 54 68 16 
Desconocido& ,- ,12 ,- ,O ,- ,3 ,- ,3 ,- ,0 0 0 O O 0 0 O 0 0 0 0 0 0 O ,O 9 1 2 0 
Total ,314709 ,1531 ,486.5 ,6 ,1.9 ,391 ,124.2 ,391 ,124.2 ,1 0 1 0 3 3 8 9 25 46 53 23 37 85 169 ,217 271 254 269 57 
