,,,,,,,Numero,deCasos,segun,FechadeInicio,deSintomas,,,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (5 de abril al 11 de abril) ,SE 16 (12 de abril al 18 de abril 
Corral ,5447 ,1 ,18.4 ,1 ,18.4 ,1 ,18.4 ,0 ,0 ,O ,0 ,O ,O ,O ,1 
Futrono ,15261 ,5 ,32.8 ,O ,0.0 ,0 ,0.0 ,O ,O ,O ,1 ,3 ,1 ,O ,O 
La Union ,39538 ,23 ,58.2 ,6 ,15.2 ,6 ,15.2 ,O ,O ,1 ,2 ,7 ,5 ,8 ,O 
Lago Ranco ,10292 ,2 ,19.4 ,0 ,0.0 ,0 ,0.0 ,O ,O ,O ,1 ,1 ,0 ,O ,O 
Lanco ,17652 ,4 ,22.7 ,2 ,11.3 ,2 ,11.3 ,0 ,0 ,O ,O ,1 ,2 ,1 ,0 
Los Lagos ,20518 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,O ,O ,O ,O ,O ,O ,O 
Mafil ,7389 ,1 ,13.5 ,O ,0.0 ,0 ,0.0 ,O ,O ,O ,1 ,O ,0 ,O ,O 
Mariquina ,23250 ,9 ,38.7 ,3 ,12.9 ,3 ,12.9 ,O ,O ,O ,2 ,1 ,4 ,2 ,O 
Paillaco ,20798 ,1 ,4.8 ,O ,0.0 ,0 ,0.0 ,O ,O ,O ,1 ,O ,O ,O ,O 
Panguipulli ,35991 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O ,O ,O ,0 ,O ,O ,O 
Rio Bueno ,32925 ,7 ,21.3 ,1 ,3.0 ,1 ,3.0 ,O ,O ,O ,4 ,2 ,1 ,O ,0 
Valdivia ,176774 ,97 ,54.9 ,24 ,13.6 ,21 ,11.9 ,O ,2 ,1 ,26 ,32 ,22 ,14 ,O 
Total ,405835 ,150 ,37.0 ,37 ,9.1 ,34 ,8.4 ,0 ,2 ,2 ,38 ,47 ,35 ,25 ,1 
