,,,,Numerode,Casossegun,Fecha,deInicio,de,Sintomas.,,Notificaciono,Toma,deMuestra,,,,,,,,,
Region de Notificacion O Toma de ,Residencia ,SE ,SE ,SE SE ,SE SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE SE ,SE ,SE 
Muestra ,Desconocida ,9 ,10 ,11 12 ,13 14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 30 ,31 ,32 
Region de Arica y Parinacota ,11 ,0 ,O ,O O ,0 0 ,1 ,O ,0 ,0 ,0 ,O ,0 ,O ,0 ,O ,0 ,0 ,0 ,0 ,2 3 ,5 ,0 
Region de Tarapaca ,403 ,O ,O ,O 0 ,0 0 ,1 ,0 ,1 ,5 ,94 ,29 ,26 ,25 ,31 ,26 ,20 ,22 ,16 ,20 ,34 41 ,12 ,0 
Region de Antofagasta ,222 ,O ,O ,0 O ,O 0 ,O ,O ,5 ,0 ,1 ,1 ,0 ,0 ,5 ,10 ,41 ,30 ,30 ,26 ,24 21 ,28 ,0 
Region de Atacama ,18 ,0 ,O ,O O ,0 0 ,0 ,O ,O ,0 ,0 ,O ,0 ,O ,0 ,0 ,9 ,1 ,2 ,1 ,3 2 ,0 ,O 
Region de Coquimbo ,137 ,O ,O ,O 1 ,0 3 ,1 ,1 ,1 ,0 ,1 ,3 ,10 ,8 ,9 ,17 ,11 ,17 ,10 ,18 ,13 1 ,12 ,0 
Region de Valparaiso ,433 ,O ,0 ,0 2 ,3 3 ,1 ,1 ,0 ,0 ,11 ,8 ,7 ,37 ,29 ,37 ,63 ,52 ,60 ,33 ,30 21 ,35 ,O 
Region Metropolitana de Santiago ,17035 ,O ,0 ,6 11 ,19 55 ,177 ,363 ,577 ,731 ,1483 ,2351 ,2558 ,1758 ,1486 ,1475 ,1507 ,929 ,525 ,365 ,203 228 ,227 ,1 
Region de Libertador General Bernardo OHiggins ,101 ,O ,0 ,0 0 ,0 0 ,2 ,O ,0 ,0 ,1 ,2 ,12 ,0 ,8 ,4 ,12 ,12 ,4 ,19 ,3 7 ,15 ,0 
Region de Maule ,42 ,0 ,0 ,0 1 ,0 0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,2 ,3 ,7 ,10 ,5 ,O ,2 ,3 5 ,2 ,0 
Region del Nuble ,1 ,O ,0 ,0 0 ,0 0 ,0 ,O ,0 ,0 ,O ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 0 ,0 ,O 
Region del Biobio ,184 ,0 ,O ,O 1 ,0 O ,0 ,0 ,0 ,0 ,2 ,4 ,6 ,6 ,9 ,7 ,27 ,38 ,8 ,11 ,11 15 ,39 ,0 
Region de la Araucania ,2 ,0 ,O ,O O ,1 0 ,0 ,O ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,O ,0 ,0 ,0 ,0 ,0 0 ,1 ,O 
Region de Los Rios ,6 ,O ,O ,1 0 ,O 0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,1 ,0 ,0 ,0 ,0 0 ,0 ,0 
Region de Los Lagos ,75 ,O ,O ,9 10 ,3 1 ,0 ,1 ,3 ,O ,1 ,1 ,2 ,3 ,1 ,1 ,3 ,3 ,4 ,12 ,4 7 ,6 ,O 
Region de Aysen del General Carlos ibanez del Campo ,1 ,0 ,O ,1 O ,O 0 ,O ,O ,O ,O ,O ,O ,0 ,O ,0 ,O ,O ,O ,O ,0 ,O 0 ,O ,O 
Region de Magallanes y la Antartica Chilena ,71 ,0 ,O ,O 1 ,O 1 ,42 ,14 ,4 ,2 ,1 ,O ,0 ,O ,0 ,1 ,1 ,1 ,1 ,O ,1 1 ,0 ,0 
Desconocido ,62 ,O ,O ,O 1 ,9 1 ,1 ,1 ,1 ,3 ,13 ,O ,6 ,3 ,21 ,O ,O ,O ,O ,O ,0 O ,1 ,O 
,,,,,,,,,,,,,,,,,,,,,,
