,,,,,,Numero,deCasossegun,Fechade,IniciodeSintomas,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE SE SE 12 13 14 15 ,SE SE 16 17 
Alto Biobio ,6775 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 0 0 0 ,0 0 
Antuco ,4306 ,2 ,46.4 ,2 ,46.4 ,2 ,46.4 ,0 0 0 ,0 0 0 0 ,0 0 
Arauco ,38679 ,15 ,38.8 ,9 ,23.3 ,9 ,23.3 ,0 0 1 ,2 2 1 0 ,0 0 
Cabrero ,30725 ,22 ,71.6 ,4 ,13.0 ,4 ,13.0 ,0 0 0 ,1 0 4 3 ,7 1 
Canete& ,37003 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 0 0 0 ,0 0 
Chiguayante ,91180 ,75 ,82.3 ,8 ,8.8 ,8 ,8.8 ,0 0 5 ,5 9 16 11 ,10 10 
Concepcion ,238092 ,171 ,71.8 ,33 ,13.9 ,33 ,13.9 ,1 1 6 ,28 28 22 21 ,18 13 
Contulmo ,6330 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 0 0 0 ,0 0 
Coronel ,125829 ,30 ,23.8 ,7 ,5.6 ,7 ,5.6 ,0 0 1 ,6 6 4 1 ,0 5 
Curanilahue ,33892 ,3 ,8.9 ,2 ,5.9 ,2 ,5.9 ,0 0 0 ,1 0 0 0 ,0 0 
Florida ,11841 ,3 ,25.3 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 2 1 0 ,0 0 
Hualpen& ,97273 ,123 ,126.4 ,10 ,10.3 ,10 ,10.3 ,0 0 3 ,23 33 27 17 ,8 2 
Hualqui ,26201 ,21 ,80.1 ,1 ,3.8 ,1 ,3.8 ,0 0 1 ,1 2 3 4 ,9 0 
Laja& ,23873 ,24 ,100.5 ,11 ,46.1 ,11 ,46.1 ,0 1 1 ,0 3 1 1 ,1 5 
Lebu ,27100 ,2 ,7.4 ,2 ,7.4 ,2 ,7.4 ,0 0 0 ,0 0 0 0 ,0 0 
Los Alamos ,22524 ,1 ,4.4 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 0 O 1 ,0 0 
Los Angeles& ,218515 ,45 ,20.6 ,13 ,5.9 ,13 ,5.9 ,0 0 3 ,6 9 6 5 ,3 0 
Lota ,45750 ,13 ,28.4 ,12 ,26.2 ,12 ,26.2 ,0 0 0 ,1 0 0 0 ,0 0 
Mulchen ,31041 ,9 ,29.0 ,4 ,12.9 ,4 ,12.9 ,0 0 0 ,1 4 0 0 ,0 0 
Nacimiento ,27944 ,20 ,71.6 ,9 ,32.2 ,9 ,32.2 ,0 0 0 ,2 3 3 2 ,0 1 
Negrete ,10429 ,5 ,47.9 ,3 ,28.8 ,3 ,28.8 ,0 0 0 ,0 0 2 0 ,0 0 
