,,,Numero,de,Casossegun,Fecha,de,Iniciode,Sintomas.,,NotificacionO,TomadeMuestra,,
,Residencia ,SE SE SE SE ,SE SE SE SE ,SE ,SE SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE SE SE SE SE SE ,SE SE ,SE SE 
Region de Notificacion O Toma de Muestra ,Desconocida ,9 10 11 12 ,13 14 15 16 ,17 ,18 19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 27 28 29 30 31 ,32 33 ,34 35 
Region de Arica y Parinacota ,25 ,O O O O ,O 0 1 O ,O ,O 0 ,O ,0 ,O ,0 ,O ,0 ,0 O O 2 3 3 ,10 2 ,4 O 
Region de Tarapaca ,437 ,0 0 0 O ,O 0 1 0 ,1 ,5 95 ,29 ,25 ,25 ,31 ,25 ,20 ,22 16 20 33 35 14 ,17 13 ,10 0 
Region de Antofagasta ,280 ,O 0 0 O ,O 0 O 1 ,5 ,O 1 ,1 ,0 ,0 ,5 ,10 ,41 ,30 27 24 24 21 27 ,26 14 ,23 0 
Region de Atacama ,33 ,O 0 0 0 ,0 0 O 0 ,O ,O O ,O ,O ,0 ,O ,O ,9 ,1 2 1 3 2 O ,11 2 ,2 O 
Region de Coquimbo ,141 ,O 0 O 1 ,O 3 1 1 ,1 ,O 1 ,3 ,10 ,8 ,9 ,17 ,11 ,16 10 18 12 1 8 ,4 2 ,4 0 
Region de Valparaiso ,400 ,O 0 0 2 ,3 3 1 1 ,O ,O 11 ,8 ,6 ,37 ,27 ,37 ,57 ,46 51 25 24 11 10 ,11 10 ,19 0 
Region Metropolitana de Santiago ,15780 ,O 0 6 10 ,19 54 177 364 ,563 ,695 1396 ,2164 ,2406 ,1665 ,1337 ,1346 ,1418 ,851 469 283 159 94 108 ,57 41 ,98 0 
Region del Libertador Bernardo OHiggins ,42 ,O 0 O O ,0 0 1 0 ,O ,O 1 ,1 ,2 ,0 ,6 ,1 ,6 ,7 2 6 2 5 O ,1 0 ,1 O 
Region del Maule ,4 ,0 0 O O ,O O O O ,O ,O O ,O ,O ,O ,O ,2 ,0 ,O O O 1 0 O ,O 0 ,1 O 
Region del Nuble ,2 ,O O O O ,O O O O ,O ,O O ,O ,O ,O ,0 ,O ,0 ,O O 1 O 0 O ,O 0 ,1 O 
Region del Biobio ,186 ,O 0 O 1 ,O 0 O O ,O ,O 2 ,4 ,6 ,6 ,9 ,6 ,27 ,35 7 11 11 10 12 ,7 7 ,25 O 
Region de la Araucania ,5 ,0 O 0 O ,1 0 O 0 ,0 ,O 0 ,O ,0 ,O ,0 ,0 ,0 ,0 O O O O O ,0 3 ,1 0 
Region de Los Rios ,7 ,0 0 1 O ,O 0 1 1 ,O ,O O ,O ,O ,1 ,O ,1 ,1 ,O O O 0 0 O ,1 0 ,O O 
Region de Los Lagos ,66 ,O 0 9 10 ,3 1 O 1 ,3 ,O 1 ,1 ,2 ,3 ,1 ,1 ,3 ,3 4 12 4 2 2 ,O 0 ,O O 
Region de Aysen del General Carlos ibanez del Campo ,1 ,O O 1 O ,O 0 O O ,O ,O O ,O ,0 ,0 ,0 ,0 ,0 ,0 O 0 0 0 O ,O 0 ,0 O 
Region de Magallanes y la Antartica Chilena ,8 ,O 0 0 O ,0 0 0 0 ,O ,O 0 ,O ,O ,O ,0 ,1 ,O ,O 1 O O 1 O ,0 0 ,5 O 
Desconocido ,65 ,0 0 O 2 ,9 1 1 1 ,2 ,3 13 ,O ,6 ,3 ,21 ,0 ,0 ,O 0 0 0 0 O ,1 1 ,0 O 
Total pais ,17482 ,0 0 17 26 ,35 62 184 370 ,575 ,703 1521 ,2211 ,2463 ,1748 ,1446 ,1447 ,1593 ,1011 589 401 275 185 184 ,146 95 ,194 0 
