Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Aisen ,25002 ,61 ,244.0 ,5 ,20.0 ,5 ,20.0 
Chile Chico ,5121 ,1 ,19.5 ,O ,0.0 ,O ,0.0 
Cisnes ,5828 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
Cochrane ,3685 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Coyhaique ,61210 ,38 ,62.1 ,1 ,1.6 ,1 ,1.6 
Guaitecas ,1599 ,1 ,62.5 ,0 ,0.0 ,O ,0.0 
Lago Verde ,920 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
O'Higgins ,661 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 
Rio ibanez ,2699 ,O ,0.0 ,0 ,0.0 ,O ,0.0 
Tortel ,572 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Desconocido ,- ,1 ,- ,0 ,- ,O ,- 
Total ,107297 ,102 ,95.1 ,6 ,5.6 ,6 ,5.6 
