,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,3564 ,1.8 ,587.6 ,3287 ,1.8 ,563.0 ,6851 ,1.8 ,575.5 
05 09 anos ,2887 ,1.5 ,442.2 ,2705 ,1.5 ,429.7 ,5592 ,1.5 ,436.1 
10 14 anos ,3295 ,1.7 ,511.8 ,3411 ,1.9 ,548.9 ,6706 ,1.8 ,530.0 
15 19 anos ,5743 ,3.0 ,896.5 ,6489 ,3.6 ,1047.6 ,12232 ,3.3 ,970.7 
20 24 anos ,15055 ,7.8 ,2053.9 ,14990 ,8.2 ,2110.8 ,30045 ,8.0 ,2081.9 
25 29 anos ,23905 ,12.3 ,2854.8 ,23413 ,12.8 ,2884.1 ,47318 ,12.6 ,2869.2 
30 34 anos ,24505 ,12.6 ,3024.5 ,21813 ,12.0 ,2775.3 ,46318 ,12.3 ,2901.7 
35 39 anos ,20206 ,10.4 ,2785.7 ,17424 ,9.6 ,2454.5 ,37630 ,10.0 ,2621.9 
40 44 anos ,16984 ,8.8 ,2515.1 ,14745 ,8.1 ,2195.1 ,31729 ,8.4 ,2355.5 
45 49 anos ,16603 ,8.6 ,2630.6 ,15419 ,8.5 ,2407.9 ,32022 ,8.5 ,2518.4 
50 54 anos ,15790 ,8.1 ,2627.1 ,14685 ,8.1 ,2355.7 ,30475 ,8.1 ,2488.9 
55 59 anos ,14816 ,7.6 ,2670.2 ,13289 ,7.3 ,2250.0 ,28105 ,7.5 ,2453.6 
60 64 anos ,11111 ,5.7 ,2358.9 ,9423 ,5.2 ,1817.8 ,20534 ,5.5 ,2075.4 
65 69 anos ,7038 ,3.6 ,1857.4 ,6287 ,3.5 ,1443.0 ,13325 ,3.5 ,1635.8 
70 74 anos ,4978 ,2.6 ,1885.1 ,4738 ,2.6 ,1483.8 ,9716 ,2.6 ,1665.4 
75 79 anos ,3382 ,1.7 ,1917.3 ,3630 ,2.0 ,1529.1 ,7012 ,1.9 ,1694.6 
80 y mas anos ,4124 ,2.1 ,2098.5 ,6482 ,3.6 ,1850.3 ,10606 ,2.8 ,1939.5 
Total ,193986 ,100 ,2020.9 ,182230 ,100 ,1848.3 ,376216 ,100 ,1933.4 
