Grupoedad,,Hombre,,,Mujer,,,Total,
,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,52 ,"1,1 ","8,6 ",60 ,"1,3 ","10,3 ",112 ,"1,2 ","9,4 "
05 09 anos ,38 ,"0,8 ","5,8 ",48 ,"1,0 ","7,6 ",86 ,"0,9 ","6,7 "
10 14 anos ,71 ,"1,5 ","11,0 ",57 ,"1,2 ","9,2 ",128 ,"1,4 ","10,1 "
15 19 anos ,103 ,"2,2 ","16,1 ",136 ,"2,9 ","22,0 ",239 ,"2,6 ","19,0 "
20 24 anos ,327 ,"7,1 ","44,6 ",316 ,"6,8 ","44,5 ",643 ,"6,9 ","44,6 "
25 29 anos ,558 ,"12,1 ","66,6 ",574 ,"12,4 ","70,7 ",1132 ,"12,2 ","68,6 "
30 34 anos ,578 ,"12,5 ","71,3 ",603 ,"13,0 ","76,7 ",1181 ,"12,8 ","74,0 "
35 39 anos ,520 ,"11,3 ","71,7 ",514 ,"11,1 ","72,4 ",1034 ,"11,2 ","72,0 "
40 44 anos ,455 ,"9,9 ","67,4 ",472 ,"10,2 ","70,3 ",927 ,"10,0 ","68,8 "
45 49 anos ,432 ,"9,4 ","68,4 ",422 ,"9,1 ","65,9 ",854 ,"9,2 ","67,2 "
50 54 anos ,376 ,"8,1 ","62,6 ",375 ,"8,1 ","60,2 ",751 ,"8,1 ","61,3 "
55 59 anos ,336 ,"7,3 ","60,6 ",321 ,"6,9 ","54,4 ",657 ,"7,1 ","57,4 "
60 64 anos ,258 ,"5,6 ","54,8 ",234 ,"5,0 ","45,1 ",492 ,"5,3 ","49,7 "
65 69 anos ,172 ,"3,7 ","45,4 ",155 ,"3,3 ","35,6 ",327 ,"3,5 ","40,1 "
70 74 anos ,140 ,"3,0 ","53,0 ",127 ,"2,7 ","39,8 ",267 ,"2,9 ","45,8 "
75 79 anos ,99 ,"2,1 ","56,1 ",85 ,"1,8 ","35,8 ",184 ,"2,0 ","44,5 "
80 y mas anos ,101 ,"2,2 ","51,4 ",137 ,"3,0 ","39,1 ",238 ,"2,6 ","43,5 "
Total ,4.616 ,100 ,"48,1 ",4.636 ,100 ,"47,0 ",9252 ,100 ,"47,5 "
