,,,,,,Numero,deCasossegun,FechadeInicio,de,Sintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE 12 13 ,SE SE 14 15 ,SE 16 ,SE SE SE 17 18 19 ,SE 20 ,SE SE 21 22 
Algarrobo ,15174 ,33 ,217.5 ,8 ,52.7 ,7 ,46.1 ,O O 1 ,4 4 ,O 0 ,O ,2 4 6 ,11 ,1 0 
Cabildo ,20663 ,13 ,62.9 ,3 ,14.5 ,3 ,14.5 ,O 0 O ,O 0 ,O O ,O ,5 3 2 ,2 ,1 O 
Calera8 ,53591 ,42 ,78.4 ,12 ,22.4 ,12 ,22.4 ,O O O ,1 6 ,2 4 ,7 ,2 1 6 ,11 ,2 O 
Calle Larga& ,16482 ,23 ,139.5 ,10 ,60.7 ,10 ,60.7 ,O O O ,0 O ,2 3 ,1 ,O 3 3 ,6 ,5 O 
Cartagena ,25357 ,36 ,142.0 ,8 ,31.5 ,8 ,31.5 ,0 0 0 ,0 0 ,2 0 ,3 ,5 5 12 ,7 ,2 0 
Casablanca ,29170 ,21 ,72.0 ,10 ,34.3 ,10 ,34.3 ,0 O O ,1 0 ,1 1 ,O ,O O 8 ,7 ,3 O 
Catemu ,15213 ,7 ,46.0 ,4 ,26.3 ,4 ,26.3 ,O O O ,O O ,O O ,O ,O 1 1 ,5 ,O O 
Con ,45889 ,44 ,95.9 ,9 ,19.6 ,8 ,17.4 ,O O O ,2 6 ,1 1 ,O ,9 6 8 ,9 ,2 0 
EI Quisco ,17742 ,33 ,186.0 ,7 ,39.5 ,7 ,39.5 ,0 O O ,1 O ,4 2 ,4 ,O 5 10 ,7 ,O O 
EI Tabo ,14338 ,31 ,216.2 ,5 ,34.9 ,5 ,34.9 ,O O O ,0 5 ,O 2 ,3 ,3 4 6 ,6 ,2 O 
Hijuelas ,19099 ,6 ,31.4 ,5 ,26.2 ,5 ,26.2 ,O O O ,0 0 ,O 1 ,0 ,O 0 0 ,4 ,1 O 
Isla de Pascua ,8277 ,5 ,60.4 ,O ,0.0 ,O ,0.0 ,O O O ,2 1 ,2 O ,O ,O O O ,O ,O O 
Juan Fernandez ,1033 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,0 O ,O O ,O ,O O O ,O ,O O 
La Cruz ,25321 ,24 ,94.8 ,2 ,7.9 ,2 ,7.9 ,O 1 O ,1 2 ,3 1 ,O ,1 6 6 ,3 ,O O 
La Ligua ,37739 ,9 ,23.8 ,6 ,15.9 ,6 ,15.9 ,O O 0 ,1 0 ,1 0 ,0 ,0 1 0 ,6 ,0 0 
Limache ,49931 ,79 ,158.2 ,24 ,48.1 ,23 ,46.1 ,O O O ,2 O ,5 9 ,6 ,1 7 23 ,23 ,3 O 
Llaillay ,26533 ,37 ,139.4 ,26 ,98.0 ,26 ,98.0 ,O O O ,1 1 ,O O ,O ,1 2 5 ,24 ,3 O 
Los Andes ,68093 ,92 ,135.1 ,50 ,73.4 ,50 ,73.4 ,O O 0 ,2 2 ,O 3 ,0 ,2 7 20 ,42 ,14 O 
Nogales ,23490 ,12 ,51.1 ,6 ,25.5 ,6 ,25.5 ,O O 0 ,0 0 ,0 O ,O ,0 2 4 ,6 ,0 O 
Olmue8 ,19266 ,8 ,41.5 ,4 ,20.8 ,4 ,20.8 ,O O O ,O O ,2 O ,O ,O O 2 ,4 ,O O 
Panquehue ,7633 ,5 ,65.5 ,2 ,26.2 ,2 ,26.2 ,O O O ,O O ,O O ,0 ,O O 3 ,1 ,1 O 
