,,,,,,,,,,Numero,deCasos,Nuevos*,,
Region ,Poblacion ,N de Casos Confirmados Acumulados ,Tasa incidencia acumulada ,N de Casos Actuales ,Tasa de Incidencia Actual ,N de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (4 de abril al 11 de abril) 
Arica y Parinacota ,252110 ,115 ,45.6 ,88 ,34.9 ,88 ,34.9 ,0 ,0 ,1 ,3 ,23 ,58 ,30 
Tarapaca ,382773 ,52 ,13.6 ,30 ,7.8 ,30 ,7.8 ,0 ,O ,O ,11 ,11 ,18 ,12 
Antofagasta ,691854 ,149 ,21.5 ,79 ,11.4 ,78 ,11.3 ,1 ,1 ,4 ,32 ,32 ,43 ,36 
Atacama ,314709 ,13 ,4.1 ,9 ,2.9 ,9 ,2.9 ,0 ,0 ,1 ,O ,3 ,4 ,5 
Coquimbo ,836096 ,66 ,7.9 ,19 ,2.3 ,19 ,2.3 ,0 ,0 ,6 ,21 ,20 ,11 ,8 
Valparaiso ,1960170 ,273 ,13.9 ,88 ,4.5 ,86 ,4.4 ,0 ,4 ,15 ,67 ,99 ,74 ,14 
Metropolitana ,8125072 ,3803 ,46.8 ,1627 ,20.0 ,1595 ,19.6 ,6 ,39 ,306 ,898 ,927 ,1028 ,599 
O'Higgins ,991063 ,48 ,4.8 ,9 ,0.9 ,9 ,0.9 ,0 ,0 ,1 ,19 ,19 ,8 ,1 
Maule ,1131939 ,141 ,12.5 ,49 ,4.3 ,48 ,4.2 ,1 ,4 ,11 ,25 ,51 ,35 ,14 
Nuble ,511551 ,618 ,120.8 ,190 ,37.1 ,183 ,35.8 ,1 ,2 ,39 ,169 ,217 ,158 ,32 
Biobio ,1663696 ,512 ,30.8 ,235 ,14.1 ,233 ,14.0 ,1 ,1 ,20 ,86 ,169 ,147 ,88 
Araucania ,1014343 ,795 ,78.4 ,314 ,31.0 ,301 ,29.7 ,1 ,3 ,29 ,195 ,253 ,211 ,103 
Los Rios ,405835 ,138 ,34.0 ,50 ,12.3 ,47 ,11.6 ,0 ,2 ,2 ,39 ,44 ,37 ,13 
Los Lagos ,891440 ,380 ,42.6 ,131 ,14.7 ,127 ,14.2 ,O ,1 ,17 ,89 ,142 ,103 ,28 
Aisen ,107297 ,7 ,6.5 ,2 ,1.9 ,2 ,1.9 ,0 ,O ,4 ,1 ,0 ,2 ,O 
Magallanes ,178362 ,415 ,232.7 ,215 ,120.5 ,212 ,118.9 ,1 ,0 ,5 ,72 ,122 ,158 ,57 
Total pais ,19458310 ,7525 ,38.7 ,3135 ,16.1 ,3067 ,15.8 ,12 ,57 ,461 ,1727 ,2132 ,2095 ,1040 
