,,Numero,deCasos,segun,Fechade,Inicio,de,Sintomas.,Notificacion,O,Tomade,Muestra,
de Notificacion Toma de Muestra ,Residencia ,SE SE SE SE ,SE SE ,SE ,SE SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE 
Region O ,Desconocida ,9 10 11 12 ,13 14 ,15 ,16 ,17 18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 
Region de Arica y Parinacota ,2 ,O O O 1 ,O O ,1 ,O O ,O ,O ,O ,O ,O ,O ,O ,O 
Region de Tarapaca ,258 ,O O O O ,O 1 ,O ,1 1 ,4 ,99 ,25 ,32 ,26 ,34 ,28 ,7 
Region de Antofagasta ,143 ,O 0 O O ,O O ,O ,O 7 ,5 ,22 ,9 ,17 ,11 ,27 ,28 ,17 
Region de Atacama ,7 ,O O O O ,O O ,O ,O O ,O ,2 ,O ,1 ,O ,1 ,3 ,0 
Region de Coquimbo ,112 ,O O O O ,O 1 ,O ,1 1 ,3 ,2 ,4 ,9 ,10 ,11 ,48 ,22 
Region de Valparaiso ,433 ,O O O 2 ,7 7 ,2 ,3 1 ,5 ,31 ,26 ,37 ,88 ,86 ,99 ,39 
Region Metropolitana de Santiago ,17813 ,O O 8 19 ,21 58 ,249 ,420 644 ,854 ,1954 ,2947 ,3095 ,2360 ,2162 ,2156 ,866 
Region del Libertador General Bernardo OHiggins ,122 ,O O O O ,O O ,1 ,O O ,O ,2 ,4 ,13 ,O ,21 ,32 ,49 
Region del Maule ,59 ,O O O 1 ,O O ,1 ,O 2 ,O ,10 ,1 ,2 ,13 ,10 ,13 ,6 
Region del Nuble ,6 ,O O O O ,1 O ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,5 
Region del Biobio ,168 ,O O O 2 ,O O ,O ,2 1 ,O ,6 ,6 ,8 ,11 ,11 ,69 ,52 
Region de la Araucania ,14 ,O O O 1 ,1 1 ,O ,O 1 ,O ,3 ,O ,3 ,1 ,O ,2 ,1 
Region de Los Rios ,5 ,O O 1 O ,O O ,1 ,1 O ,O ,O ,O ,O ,1 ,O ,1 ,O 
Region de Los Lagos ,52 ,O O 9 13 ,4 4 ,1 ,2 3 ,1 ,O ,2 ,3 ,3 ,3 ,2 ,2 
Region de Aysen del General Carlos ibanez del Campo ,1 ,O O 1 O ,O O ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,O 
