,,,,,,,Numero,deCasos,segunFecha,deInicio,deSintomas,,,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (5 de abril al 11 de abril) ,SE 16 (12 de abri al 18 de abril) 
Arica y Parinacota ,252.110 ,134 ,"53,2 ",74 ,"29,4 ",72 ,"28,6 ",O ,0 ,1 ,3 ,23 ,61 ,44 ,2 
Tarapaca ,382.773 ,73 ,"19,1 ",38 ,"9,9 ",38 ,"9,9 ",0 ,0 ,0 ,11 ,11 ,24 ,23 ,4 
Antofagasta ,691.854 ,211 ,"30,5 ",104 ,"15,0 ",103 ,"14,9 ",1 ,1 ,4 ,33 ,35 ,53 ,69 ,15 
Atacama ,314.709 ,13 ,"4,1 ",9 ,"2,9 ",9 ,"2,9 ",O ,O ,1 ,0 ,3 ,4 ,5 ,0 
Coquimbo ,836.096 ,68 ,"8,1 ",14 ,"1,7 ",14 ,"1,7 ",O ,O ,6 ,21 ,20 ,10 ,9 ,2 
Valparaiso ,1.960.170 ,345 ,"17,6 ",102 ,"5,2 ",98 ,"5,0 ",O ,4 ,15 ,67 ,98 ,85 ,62 ,14 
Metropolitana ,8.125.072 ,4.915 ,"60,5 ",1892 ,"23,3 ",1839 ,"22,6 ",6 ,40 ,314 ,906 ,980 ,1122 ,1160 ,387 
O'Higgins ,991.063 ,55 ,"5,5 ",9 ,"0,9 ",9 ,"0,9 ",O ,0 ,1 ,19 ,15 ,10 ,4 ,6 
Maule ,1.131.939 ,223 ,"19,7 ",117 ,"10,3 ",111 ,"9,8 ",O ,3 ,5 ,21 ,47 ,54 ,41 ,52 
Nuble ,511.551 ,656 ,"128,2 ",111 ,"21,7 ",102 ,"19,9 ",1 ,2 ,40 ,168 ,216 ,159 ,58 ,12 
Biobio ,1.663.696 ,578 ,"34,7 ",147 ,"8,8 ",144 ,"8,7 ",1 ,3 ,21 ,99 ,179 ,167 ,85 ,23 
Araucania ,1.014.343 ,907 ,"89,4 ",233 ,"23,0 ",213 ,"21,0 ",1 ,3 ,28 ,198 ,260 ,245 ,135 ,37 
Los Rios ,405.835 ,154 ,"37,9 ",32 ,"7,9 ",29 ,"7,1 ",O ,2 ,2 ,38 ,47 ,36 ,25 ,4 
Los Lagos ,891.440 ,412 ,"46,2 ",80 ,"9,0 ",74 ,"8,3 ",0 ,1 ,16 ,91 ,144 ,109 ,45 ,6 
Aisen ,107.297 ,7 ,"6,5 ",0 ,"0,0 ",0 ,"0,0 ",O ,O ,4 ,1 ,O ,2 ,O ,O 
Magallanes ,178.362 ,501 ,"280,9 ",183 ,"102,6 ",177 ,"99,2 ",1 ,1 ,6 ,73 ,129 ,134 ,128 ,29 
Total pais ,19.458.310 ,9.252 ,"47,5 ",3.145 ,"16,2 ",3.032 ,"15,6 ",11 ,60 ,464 ,1.749 ,2.207 ,2.275 ,1.893 ,593 
