,,,,,,Numero,deCasos,segunFechadeInicio,de,Sintomas,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE SE 14 15 ,SE 16 ,SE SE SE SE 17 18 19 20 
Angol ,56058 ,124 ,221.2 ,9 ,16.1 ,9 ,16.1 ,O 1 1 3 ,10 ,11 15 ,35 ,27 11 8 2 
Carahue8 ,25486 ,36 ,141.3 ,O ,0.0 ,O ,0.0 ,O 0 O 0 ,3 ,10 9 ,8 ,5 1 0 O 
Cholchol ,12341 ,5 ,40.5 ,1 ,8.1 ,1 ,8.1 ,O 0 O 1 ,2 ,0 0 ,1 ,0 0 1 O 
Collipulli ,26148 ,7 ,26.8 ,1 ,3.8 ,1 ,3.8 ,O 0 0 O ,O ,1 1 ,1 ,3 0 1 O 
Cunco ,18055 ,7 ,38.8 ,2 ,11.1 ,2 ,11.1 ,O 0 0 0 ,3 ,2 O ,0 ,O 0 1 1 
Curacautin ,18178 ,7 ,38.5 ,1 ,5.5 ,1 ,5.5 ,O 0 O 2 ,O ,2 O ,0 ,2 0 1 0 
Curarrehue ,7802 ,4 ,51.3 ,0 ,0.0 ,0 ,0.0 ,O 0 1 1 ,2 ,O 0 ,0 ,0 0 O O 
Ercilla ,8458 ,11 ,130.1 ,O ,0.0 ,O ,0.0 ,0 0 0 0 ,0 ,4 1 ,4 ,1 1 O O 
Freire ,25446 ,26 ,102.2 ,16 ,62.9 ,16 ,62.9 ,0 0 0 2 ,4 ,0 O ,2 ,0 0 11 7 
Galvarino ,12633 ,4 ,31.7 ,1 ,7.9 ,1 ,7.9 ,0 0 O 0 ,1 ,1 0 ,0 ,0 1 0 1 
Gorbea ,15148 ,15 ,99.0 ,3 ,19.8 ,3 ,19.8 ,O 0 1 4 ,4 ,1 O ,2 ,O 0 3 0 
Lautaro ,40746 ,55 ,135.0 ,10 ,24.5 ,10 ,24.5 ,1 0 0 6 ,3 ,14 6 ,6 ,2 7 8 2 
Loncoche ,24739 ,20 ,80.8 ,2 ,8.1 ,2 ,8.1 ,O 0 0 2 ,3 ,2 4 ,3 ,3 1 2 0 
Lonquimay ,11049 ,31 ,280.6 ,18 ,162.9 ,17 ,153.9 ,O 0 0 0 ,0 ,0 O ,0 ,2 11 9 9 
LOs Sauces ,7517 ,1 ,13.3 ,O ,0.0 ,O ,0.0 ,O 0 0 O ,O ,O O ,1 ,O 0 O O 
Lumaco ,10050 ,7 ,69.7 ,0 ,0.0 ,O ,0.0 ,O 0 0 0 ,0 ,O O ,4 ,2 1 O 0 
Melipeuco ,6265 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O 0 O 0 ,O ,0 O ,0 ,O O O O 
Nueva Imperia ,33777 ,52 ,154.0 ,9 ,26.6 ,9 ,26.6 ,0 0 0 5 ,9 ,4 12 ,7 ,3 2 6 4 
Padre Las Casas ,82110 ,119 ,144.9 ,12 ,14.6 ,12 ,14.6 ,O 0 0 11 ,28 ,24 17 ,15 ,11 O 5 8 
Perquenco ,7223 ,5 ,69.2 ,O ,0.0 ,O ,0.0 ,O 0 O 1 ,1 ,0 O ,3 ,O 0 O O 
Pitrufquen ,26096 ,20 ,76.6 ,2 ,7.7 ,2 ,7.7 ,O 0 0 4 ,8 ,4 O ,2 ,O 0 0 2 
