,,,,,,Numerode,Casossegun,FechadeIniciodeSintomas,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE 9 10 11 12 13 14 15 ,SE SE 16 17 ,SE SE 18 19 
Chepica ,15925 ,1 ,6.3 ,1 ,6.3 ,1 ,6.3 ,O O O O O O O ,O O ,O O 
Chimbarongo ,37696 ,5 ,13.3 ,3 ,8.0 ,3 ,8.0 ,O O O 1 1 O O ,O O ,1 2 
Codegua ,14096 ,3 ,21.3 ,1 ,7.1 ,1 ,7.1 ,O O O 1 O O O ,O 1 ,O 1 
Coinco ,7831 ,4 ,51.1 ,3 ,38.3 ,3 ,38.3 ,O 0 O O O O O ,O 1 ,O 3 
Coltauco ,21263 ,9 ,42.3 ,9 ,42.3 ,9 ,42.3 ,O O O O O O O ,O O ,0 6 
Donihue ,22700 ,10 ,44.1 ,6 ,26.4 ,6 ,26.4 ,O O O O O O O ,1 O ,4 5 
Graneros& ,36504 ,23 ,63.0 ,18 ,49.3 ,18 ,49.3 ,O O O O O O O ,O 3 ,7 12 
La Estrella ,3114 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O O O O O ,O O ,O O 
Las Cabras ,26749 ,12 ,44.9 ,2 ,7.5 ,2 ,7.5 ,O O O O O 0 1 ,2 4 ,3 1 
Litueche ,6765 ,9 ,133.0 ,1 ,14.8 ,1 ,14.8 ,O O O O 0 O O ,1 5 ,2 1 
Lolol ,7289 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O 0 O ,O O ,O O 
Machali ,59913 ,24 ,40.1 ,7 ,11.7 ,6 ,10.0 ,O O 1 4 1 O 4 ,O 5 ,3 5 
Malloa ,14163 ,1 ,7.1 ,1 ,7.1 ,1 ,7.1 ,O O O O O 0 O ,O O ,O 1 
Marchihue ,7632 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 O 0 O O O O ,O 0 ,O 0 
Mostazal ,27462 ,4 ,14.6 ,3 ,10.9 ,3 ,10.9 ,O 0 O O O O O ,O O ,2 2 
Nancagua ,19141 ,3 ,15.7 ,2 ,10.4 ,2 ,10.4 ,O 0 O O 0 O O ,O 0 ,1 1 
Navidad ,6904 ,8 ,115.9 ,5 ,72.4 ,5 ,72.4 ,O O O O O O O ,O 3 ,O 5 
Olivar ,14624 ,13 ,88.9 ,7 ,47.9 ,7 ,47.9 ,O O O O 1 2 2 ,1 O ,O 7 
Palmilla ,13299 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O 0 O ,O O ,O O 
Paredones ,6349 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 O O O 0 O ,O 0 ,O 0 
