,SinHospitalizacion,,Hospitalizados,
Signos / Sintoma ,No ,% ,NO ,% 
Cefalea ,175697 ,61.0 ,6887 ,32.4 
Tos ,166166 ,57.7 ,9797 ,46.0 
Mialgia ,166053 ,57.6 ,12981 ,61.0 
Fiebre ,108473 ,37.7 ,10408 ,48.9 
Odinofagia ,97597 ,33.9 ,3561 ,16.7 
Anosmia ,53589 ,18.6 ,1057 ,5.0 
Ageusia ,42318 ,14.7 ,893 ,4.2 
Disnea ,33833 ,11.7 ,9797 ,46.0 
Diarrea ,29777 ,10.3 ,1785 ,8.4 
Dolor toracico ,27176 ,9.4 ,2416 ,11.4 
Dolor abdominal ,17502 ,6.1 ,1398 ,6.6 
Taquipnea ,3342 ,1.2 ,3040 ,14.3 
Cianosis ,317 ,0.1 ,502 ,2.4 
