,,,,,,Numero,deCasossegun,FechadeIniciode,Sintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE 14 ,SE SE SE 15 16 17 ,SE 18 ,SE SE SE 19 20 21 
Antartica ,137 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O ,O ,O O O ,O ,O O O 
Cabo de Hornos ,1983 ,22 ,1109.4 ,1 ,50.4 ,1 ,50.4 ,0 O 2 7 ,7 ,1 ,2 O O ,0 ,2 O 1 
Laguna Blanca& ,264 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O O O O ,O ,0 ,0 O O ,0 ,O 0 O 
Natales ,23782 ,13 ,54.7 ,2 ,8.4 ,2 ,8.4 ,O O 1 3 ,2 ,O ,2 O O ,2 ,O 2 1 
Porvenir ,7323 ,9 ,122.9 ,0 ,0.0 ,0 ,0.0 ,O O O O ,3 ,1 ,2 2 0 ,O ,1 O O 
Primavera ,694 ,1 ,144.1 ,0 ,0.0 ,0 ,0.0 ,0 O 0 0 ,0 ,0 ,1 0 0 ,0 ,0 O O 
Punta Arenas ,141984 ,999 ,703.6 ,67 ,47.2 ,67 ,47.2 ,2 1 6 62 ,121 ,148 ,154 132 84 ,107 ,81 51 44 
Rio Verde ,211 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O ,O ,O O O ,O ,O O O 
San Gregorio ,681 ,2 ,293.7 ,0 ,0.0 ,0 ,0.0 ,O O O O ,O ,O ,0 0 O ,O ,2 O O 
Timaukel ,282 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 O 0 O ,O ,O ,0 0 0 ,0 ,0 0 O 
Torres del Paine ,1021 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O O 0 O ,O ,0 ,0 0 O ,O ,0 0 0 
Total ,178362 ,1046 ,586.4 ,70 ,39.2 ,70 ,39.2 ,2 1 9 72 ,133 ,150 ,161 134 84 ,109 ,86 53 46 
