,,,,,,,,,Numerode,Casossegun,Fechade,Inicio,de,Sintomas,,
Comuna ,Poblacion ,Numero de Casos ,Tasa incidencia ,Numero de ,Tasa de ,Numero de Casos ,Tasa de Incidencia ,Numero de Casos ,Tasa de Incidencia ,SE SE SE ,SE SE ,SE ,SE ,SE SE ,SE SE ,SE SE SE SE SE 
,,Confirmados ,acumulada ,Fallecidos ,mortalidad ,Actuales ,Actual ,Activos ,Activos ,9 10 11 ,12 13 ,14 ,15 ,16 17 ,18 19 ,20 21 22 23 24 
Antartica ,137 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 0 ,0 ,O ,O 0 ,0 0 ,O 0 0 0 0 
Cabo de Hornos ,1983 ,21 ,1059.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 0 2 ,6 4 ,1 ,6 ,O O ,0 1 ,O 1 O 0 0 
Laguna Blanca ,264 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O 0 ,O 0 ,0 ,O ,O O ,O 0 ,O O O O O 
Natales ,23782 ,14 ,58.9 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 0 1 ,3 2 ,0 ,1 ,1 0 ,2 0 ,2 2 O 0 O 
Porvenir ,7323 ,9 ,122.9 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 O ,0 3 ,1 ,2 ,2 O ,0 1 ,O 0 0 0 0 
Primavera ,694 ,2 ,288.2 ,0 ,0.0 ,1 ,144.1 ,1 ,144.1 ,0 0 0 ,O 0 ,0 ,1 ,O 0 ,O 0 ,O 0 O 1 O 
Punta Arenas ,141984 ,1058 ,745.2 ,16 ,11.3 ,42 ,29.6 ,42 ,29.6 ,0 2 6 ,65 121 ,146 ,153 ,132 85 ,108 82 ,51 49 23 26 9 
Rio Verde ,211 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O O O ,O O ,0 ,O ,O O ,0 O ,O 0 O 0 O 
San Gregorio ,681 ,2 ,293.7 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 0 0 ,0 0 ,O ,O ,O O ,0 2 ,O O 0 0 0 
Timauke ,282 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 0 ,0 ,O ,O 0 ,0 0 ,O 0 0 0 0 
Torres de Paine ,1021 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 O ,0 0 ,0 ,O ,O 0 ,0 O ,O 0 O O O 
Total ,178362 ,1106 ,620.1 ,16 ,9.0 ,43 ,24.1 ,43 ,24.1 ,0 2 9 ,74 130 ,148 ,163 ,135 85 ,110 86 ,53 52 23 27 9 
