,,,,,,,,Numero,deCasossegun,FechadeIniciode,Sintomas.,Notificacion,oToma,deMuestra,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE 9 10 11 12 13 ,SE SE 14 15 ,SE 16 ,SE SE 17 18 ,SE SE SE 19 20 21 ,SE SE SE 22 23 24 ,SE SE SE SE 25 26 27 28 
Antartica ,137 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 O 0 ,0 0 ,0 ,0 O ,0 0 0 ,0 0 0 ,0 0 0 0 
Cabo de Hornos ,1983 ,22 ,1109.4 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 2 6 4 ,1 6 ,0 ,0 0 ,1 0 1 ,0 O 0 ,0 1 0 0 
Laguna Blanca ,264 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 O 0 ,0 0 ,0 ,0 O ,0 0 0 ,0 O 0 ,O 0 0 0 
Natales ,23782 ,50 ,210.2 ,O ,0.0 ,10 ,42.0 ,10 ,42.0 ,0 O 1 3 4 ,0 1 ,1 ,0 4 ,0 3 3 ,0 O 0 ,5 17 7 1 
Porvenir ,7323 ,10 ,136.6 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 3 ,1 2 ,2 ,0 0 ,1 0 0 ,0 1 0 ,0 0 0 0 
Primavera& ,694 ,1 ,144.1 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 0 0 O 0 ,0 1 ,0 ,0 O ,0 0 O ,0 O 0 ,0 0 0 0 
Punta Arenas& ,141984 ,1398 ,984.6 ,26 ,18.3 ,74 ,52.1 ,74 ,52.1 ,0 2 5 66 121 ,147 156 ,133 ,86 108 ,83 53 51 ,24 35 123 ,82 62 40 21 
Rio Verde ,211 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O O 0 O 0 ,0 O ,0 ,O O ,0 0 0 ,0 O 0 ,O 0 0 0 
San Gregorio ,681 ,2 ,293.7 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 O 0 O 0 ,O O ,O ,0 O ,2 0 0 ,O O 0 ,O 0 0 0 
Timaukel ,282 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 0 O O 0 ,O O ,O ,0 O ,0 O 0 ,0 O 0 ,O 0 0 0 
Torres del Paine ,1021 ,1 ,97.9 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 O 0 ,O 0 ,0 ,0 O ,0 0 0 ,0 O 0 ,O 1 0 0 
Desconocido& ,- ,70 ,- ,O ,- ,3 ,- ,3 ,- ,0 O 0 1 0 ,1 42 ,14 ,4 2 ,1 0 0 ,0 O 1 ,1 1 1 1 
Total ,178362 ,1554 ,871.3 ,26 ,14.6 ,87 ,48.8 ,87 ,48.8 ,0 2 8 76 132 ,150 208 ,150 ,90 114 ,88 56 55 ,24 36 124 ,88 82 48 23 
