,,,,,,,,,Numerode,CasossegunFechadeIniciode,Sintomas.Notificacion,oTomade,Muestra,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE 9 10 11 12 13 14 15 ,SE SE 16 17 ,SE SE SE 18 19 20 ,SE 21 ,SE SE 22 23 ,SE SE 24 25 ,SE 26 ,SE SE 27 28 
Antofagasta& ,425725 ,5263 ,1236.2 ,73 ,17.1 ,996 ,234.0 ,992 ,233.0 ,0 1 2 28 31 41 61 ,108 161 ,216 312 313 ,304 ,353 498 ,602 700 ,770 ,655 107 
Calama ,190336 ,5165 ,2713.6 ,135 ,70.9 ,749 ,393.5 ,743 ,390.4 ,1 O 2 3 3 9 18 ,17 40 ,54 92 235 ,284 ,443 813 ,982 901 ,706 ,486 76 
Maria Elena& ,6814 ,275 ,4035.8 ,7 ,102.7 ,27 ,396.2 ,27 ,396.2 ,1 0 O 0 0 O 5 ,9 16 ,45 42 30 ,13 ,12 11 ,7 41 ,27 ,15 1 
Mejillones ,14776 ,426 ,2883.1 ,4 ,27.1 ,39 ,263.9 ,39 ,263.9 ,0 0 0 0 1 8 15 ,18 30 ,76 45 51 ,19 ,19 10 ,17 38 ,49 ,24 6 
Ollague ,287 ,12 ,4181.2 ,0 ,0.0 ,5 ,1742.2 ,5 ,1742.2 ,O 0 O 0 0 0 0 ,0 0 ,0 0 O ,0 ,0 O ,2 5 ,1 ,2 2 
San Pedro de Atacama& ,10434 ,149 ,1428.0 ,4 ,38.3 ,35 ,335.4 ,34 ,325.9 ,0 0 O 2 1 1 O ,O 1 ,O O 2 ,4 ,4 18 ,21 33 ,35 ,25 2 
Sierra Gorda ,1746 ,54 ,3092.8 ,0 ,0.0 ,6 ,343.6 ,6 ,343.6 ,0 O 0 0 0 O 0 ,O 0 ,3 5 5 ,3 ,12 6 ,8 3 ,4 ,2 3 
Taltal ,13657 ,87 ,637.0 ,2 ,14.6 ,15 ,109.8 ,15 ,109.8 ,0 0 O 0 0 2 3 ,2 1 ,1 3 12 ,6 ,9 7 ,9 12 ,7 ,11 2 
Tocopilla& ,28079 ,224 ,797.7 ,5 ,17.8 ,59 ,210.1 ,58 ,206.6 ,O 0 0 2 0 4 5 ,O 1 ,2 7 8 ,8 ,4 6 ,25 50 ,61 ,39 2 
Desconocido& ,- ,144 ,- ,O ,- ,56 ,- ,56 ,- ,0 0 0 0 O O 0 ,O 5 ,0 1 1 ,0 ,0 6 ,10 42 ,32 ,34 13 
Total ,691854 ,11799 ,1705.4 ,230 ,33.2 ,1987 ,287.2 ,1975 ,285.5 ,2 1 4 35 36 65 107 ,154 255 ,397 507 657 ,641 ,856 1375 ,1683 1825 ,1692 ,1293 214 
