,,,,,,NumerodeCasos,segunFecha,deIniciodeSintomas,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 ,SE SE 17 18 
Chepica ,15925 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O O O O O O ,0 O 
Chimbarongo ,37696 ,2 ,5.3 ,O ,0.0 ,O ,0.0 ,0 O O 1 1 O O O ,O O 
Codegua ,14096 ,2 ,14.2 ,0 ,0.0 ,O ,0.0 ,0 0 O 1 O O O O ,1 O 
Coinco ,7831 ,2 ,25.5 ,1 ,12.8 ,1 ,12.8 ,O 0 O O O O O 0 ,1 0 
Coltauco ,21263 ,1 ,4.7 ,1 ,4.7 ,1 ,4.7 ,0 O O O O O O O ,O O 
Donihue ,22700 ,4 ,17.6 ,3 ,13.2 ,3 ,13.2 ,0 O O O O O O 1 ,O 3 
Graneros ,36504 ,10 ,27.4 ,8 ,21.9 ,8 ,21.9 ,0 O O O O O O O ,2 5 
La Estrella ,3114 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O 0 ,O O 
Las Cabras ,26749 ,10 ,37.4 ,4 ,15.0 ,4 ,15.0 ,0 0 0 O O O 1 2 ,4 3 
Litueche ,6765 ,8 ,118.3 ,2 ,29.6 ,2 ,29.6 ,0 0 O O O O O 1 ,5 2 
Lolol ,7289 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O O ,O O 
Machali ,59913 ,19 ,31.7 ,4 ,6.7 ,4 ,6.7 ,O O 1 4 1 O 4 O ,5 3 
Malloa ,14163 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O O O O O O ,O O 
Marchihue ,7632 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 0 O O O O O O ,O O 
Mostazal ,27462 ,1 ,3.6 ,1 ,3.6 ,1 ,3.6 ,0 O O O O O O O ,O 1 
Nancagua ,19141 ,1 ,5.2 ,1 ,5.2 ,1 ,5.2 ,0 O O O O O O O ,O 1 
Navidad ,6904 ,2 ,29.0 ,1 ,14.5 ,1 ,14.5 ,0 O O O O O O O ,2 O 
Olivar ,14624 ,6 ,41.0 ,O ,0.0 ,O ,0.0 ,0 0 O O 1 2 2 1 ,O O 
Palmilla ,13299 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 O O 0 O 0 0 ,O O 
Paredones ,6349 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 O O O O O 0 ,O O 
Peralillo ,11848 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 O O O O ,O 0 
