,Hospitalizados,,SinHospitalizacion,
Signos / Sintoma ,No ,% ,No ,% 
Tos ,25203 ,61.0 ,220450 ,52.6 
Fiebre ,18946 ,45.9 ,137201 ,32.7 
Mialgia ,18158 ,44.0 ,223197 ,53.2 
Disnea ,16920 ,41.0 ,42348 ,10.1 
Cefalea ,14802 ,35.8 ,243002 ,58.0 
Odinofagia ,7451 ,18.0 ,135534 ,32.3 
Taquipnea ,4887 ,11.8 ,3810 ,0.9 
Dolor toracico ,4782 ,11.6 ,35426 ,8.5 
Otros ,4631 ,11.2 ,42159 ,10.1 
Diarrea ,3674 ,8.9 ,41955 ,10.0 
Dolor abdominal ,2855 ,6.9 ,24978 ,6.0 
Anosmia ,2473 ,6.0 ,76253 ,18.2 
Ageusia ,2171 ,5.3 ,60394 ,14.4 
Postracion ,878 ,2.1 ,1957 ,0.5 
Cianosis ,793 ,1.9 ,328 ,0.1 
