,SinHospitalizacion,,Hospitalizados,
Signos / Sintoma ,No ,% ,No ,% 
Cefalea ,130436 ,60.9 ,5653 ,32.9 
Tos ,124642 ,58.2 ,10501 ,61.2 
Mialgia ,124048 ,57.9 ,7109 ,41.4 
Fiebre ,84973 ,39.7 ,8523 ,49.7 
Odinofagia ,73432 ,34.3 ,3054 ,17.8 
Anosmia ,38109 ,17.8 ,828 ,4.8 
Ageusia ,29971 ,14.0 ,697 ,4.1 
Disnea ,24607 ,11.5 ,7109 ,41.4 
Diarrea ,21222 ,9.9 ,1415 ,8.2 
Dolor toracico ,19516 ,9.1 ,1864 ,10.9 
Dolor abdominal ,12594 ,5.9 ,1058 ,6.2 
Taquipnea ,2459 ,1.1 ,2379 ,13.9 
Cianosis ,229 ,0.1 ,380 ,2.2 
