,,,,,,Numerode,CasossegunFecha,deIniciodeSintomas,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE 9 10 11 12 13 14 15 ,SE SE SE SE 16 17 18 19 ,SE 20 ,SE SE 21 22 
Cauquenes ,44143 ,32 ,72.5 ,15 ,34.0 ,15 ,34.0 ,O O O O 2 3 1 ,5 2 1 3 ,10 ,5 0 
Chanco ,9331 ,3 ,32.2 ,0 ,0.0 ,O ,0.0 ,O 0 O 0 1 0 O ,1 1 O O ,O ,0 O 
Colbun ,22565 ,20 ,88.6 ,8 ,35.5 ,8 ,35.5 ,O O O O 3 3 O ,O O 1 4 ,8 ,1 O 
Constitucion ,50348 ,31 ,61.6 ,6 ,11.9 ,6 ,11.9 ,O 0 O 0 3 3 5 ,7 4 1 2 ,3 ,3 O 
Curepto ,9426 ,14 ,148.5 ,4 ,42.4 ,4 ,42.4 ,0 0 0 0 0 3 2 ,3 0 1 1 ,2 ,2 0 
Curico ,163626 ,163 ,99.6 ,86 ,52.6 ,85 ,51.9 ,O 1 3 3 6 3 12 ,9 10 9 17 ,41 ,49 O 
Empedrado ,4206 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O 0 O O O O O ,O O O O ,O ,O O 
Hualane ,10222 ,7 ,68.5 ,6 ,58.7 ,6 ,58.7 ,O O O O O O O ,1 O O O ,5 ,1 O 
Licanten ,6989 ,2 ,28.6 ,O ,0.0 ,O ,0.0 ,O O O 0 0 1 0 ,1 O O 0 ,O ,O O 
Linares& ,101073 ,65 ,64.3 ,22 ,21.8 ,22 ,21.8 ,1 O O 2 5 5 4 ,6 3 4 12 ,17 ,6 O 
Longavi ,32810 ,20 ,61.0 ,9 ,27.4 ,9 ,27.4 ,0 0 0 1 0 1 1 ,1 O 2 5 ,9 ,0 O 
Maule ,60000 ,45 ,75.0 ,15 ,25.0 ,15 ,25.0 ,O O O 1 1 2 6 ,12 2 O 3 ,12 ,6 O 
Molina ,49800 ,13 ,26.1 ,5 ,10.0 ,5 ,10.0 ,0 O O 1 2 O 1 ,3 O O 1 ,4 ,1 O 
Parral ,44544 ,34 ,76.3 ,20 ,44.9 ,20 ,44.9 ,O O O 1 3 2 2 ,1 O O 5 ,5 ,15 O 
Pelarco ,9083 ,19 ,209.2 ,6 ,66.1 ,6 ,66.1 ,0 0 0 0 0 0 3 ,2 0 2 4 ,5 ,3 0 
Pelluhue ,8092 ,10 ,123.6 ,6 ,74.1 ,6 ,74.1 ,O O O 1 0 0 1 ,O O O 1 ,6 ,1 O 
Pencahue ,8601 ,5 ,58.1 ,2 ,23.3 ,2 ,23.3 ,O O O 0 O O O ,3 O O O ,O ,2 O 
Rauco ,11248 ,6 ,53.3 ,2 ,17.8 ,2 ,17.8 ,0 O O O 1 1 O ,1 O 0 1 ,O ,2 O 
Retiro ,21071 ,6 ,28.5 ,4 ,19.0 ,4 ,19.0 ,0 O 0 0 0 0 1 ,0 O 1 O ,1 ,3 O 
Rio Claro ,14753 ,14 ,94.9 ,3 ,20.3 ,3 ,20.3 ,O O O 2 0 1 1 ,3 2 O 2 ,2 ,1 O 
Romera ,16170 ,15 ,92.8 ,2 ,12.4 ,2 ,12.4 ,0 O 0 1 2 0 O ,10 O O O ,1 ,1 O 
