,Hospitalizados,,Sin,Hospitalizacion
Comorbilidades ,N ,% ,N ,% 
Hipertension Arterial ,13033 ,32.3 ,46284 ,11.2 
Diabetes ,8120 ,20.1 ,22565 ,5.5 
Otra ,5330 ,13.2 ,24490 ,5.9 
Obesidad ,2785 ,6.9 ,11803 ,2.9 
Enfermedad Renal Cronica ,1764 ,4.4 ,2041 ,0.5 
Cardiopatia Cronica ,1616 ,4.0 ,2308 ,0.6 
Enfermedad Cardiovascular ,1615 ,4.0 ,2757 ,0.7 
Enfermedad Pulmonar Cronica ,1522 ,3.8 ,2650 ,0.6 
Asma ,1350 ,3.3 ,11614 ,2.8 
Enfermedad Neurologica Cronica ,1027 ,2.5 ,1457 ,0.4 
Inmunocomprometido ,966 ,2.4 ,1844 ,0.4 
Enfermedad Hepatica Cronica ,433 ,1.1 ,333 ,0.1 
