,,,,Casos,Acumulados,,,,Tasa,Tasa,
Zona de Chile ,Poblacion ,Confirmados Notificados ,Confirmados No Notificados* ,Probables ,Confirmados correspondientes a BAC ,% Confirmados correspondientes a BAC ,Total ,Casos Fallecidos* ,incidencia acumulada ,mortalidad acumulada ,Tasa Letalidad 
Region de Arica y Parinacota ,252110 ,6264 ,26 ,314 ,271 ,4.1% ,6604 ,144 ,2619.5 ,57.1 ,2.2% 
Region de Tarapaca ,382773 ,9945 ,440 ,706 ,868 ,7.8% ,11091 ,238 ,2897.5 ,62.2 ,2.1% 
Region de Antofagasta ,691854 ,17258 ,281 ,876 ,1018 ,5.5% ,18415 ,568 ,2661.7 ,82.1 ,3.1% 
Region de Atacama ,314709 ,5226 ,33 ,84 ,963 ,18.0% ,5343 ,85 ,1697.8 ,27.0 ,1.6% 
Region de Coquimbo ,836096 ,9089 ,140 ,1048 ,615 ,6.0% ,10277 ,194 ,1229.2 ,23.2 ,1.9% 
Region de Valparaiso ,1960170 ,21187 ,402 ,7872 ,979 ,3.3% ,29461 ,1080 ,1503.0 ,55.1 ,3.7% 
Region Metropolitana de Santiago ,8125072 ,254196 ,16003 ,30584 ,6583 ,2.2% ,300783 ,10929 ,3701.9 ,134.5 ,3.6% 
Region del Libertador General Bernardo OHiggins ,991063 ,12763 ,42 ,2452 ,747 ,4.9% ,15257 ,509 ,1539.5 ,51.4 ,3.3% 
Region del Maule ,1131939 ,11096 ,4 ,688 ,383 ,3.2% ,11788 ,421 ,1041.4 ,37.2 ,3.6% 
Region del Nuble ,511551 ,4303 ,2 ,998 ,214 ,4.0% ,5303 ,123 ,1036.7 ,24.0 ,2.3% 
Region del Biobio ,1663696 ,15567 ,186 ,1900 ,634 ,3.6% ,17653 ,350 ,1061.1 ,21.0 ,2.0% 
Region de la Araucania ,1014343 ,4917 ,5 ,46 ,330 ,6.6% ,4968 ,219 ,489.8 ,21.6 ,4.4% 
Region de Los Rios ,405835 ,1054 ,7 ,8 ,43 ,4.0% ,1069 ,35 ,263.4 ,8.6 ,3.3% 
Region de Los Lagos ,891440 ,6073 ,45 ,338 ,796 ,12.3% ,6456 ,134 ,724.2 ,15.0 ,2.1% 
Region de Aysen del General Carlos lbanez del Campo ,107297 ,102 ,0 ,0 ,4 ,3.9% ,102 ,5 ,95.1 ,4.7 ,4.9% 
Region de Magallanes y la Antartica Chilena ,178362 ,2839 ,8 ,45 ,221 ,7.6% ,2892 ,72 ,1621.4 ,40.4 ,2.5% 
Desconocida' ,- ,- ,65 ,- ,- ,- ,65 ,2 ,- ,- ,3.1% 
Total pais ,19458310 ,381879 ,17689 ,47959 ,14669 ,3.3% ,447527 ,15108 ,2299.9 ,77.6 ,3.4% 
