,,,,,,,,,,Numerode,CasosNuevos,segun,semana,epidemiologica,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (5 de abri al 11 de abril) ,SE 16 (12 de abri al 18 de abril) ,SE 17 (19 de abri al 25 de abril) 
Aisen ,25002 ,1 ,4.0 ,O ,0.0 ,O ,0.0 ,O ,O ,1 ,0 ,0 ,0 ,O ,O ,O 
Chile Chico ,5121 ,1 ,19.5 ,O ,0.0 ,O ,0.0 ,O ,O ,O ,0 ,0 ,1 ,O ,O ,O 
Cisnes ,5828 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O ,0 ,O ,O ,O ,O ,O ,0 
Cochrane ,3685 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O ,0 ,O ,O ,0 ,O ,O ,O 
Coyhaique ,61210 ,3 ,4.9 ,O ,0.0 ,O ,0.0 ,0 ,O ,2 ,0 ,0 ,1 ,0 ,O ,0 
Guaitecas ,1599 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O ,0 ,0 ,O ,0 ,O ,O ,0 
Lago Verde ,920 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O ,O ,0 ,O ,O ,O ,O ,O 
O'Higgins ,661 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,O ,0 ,0 ,O ,0 ,O ,O ,0 
Rio Ibanez ,2699 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,O ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Tortel ,572 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,O ,0 ,0 
Total ,107297 ,5 ,4.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,3 ,0 ,0 ,2 ,0 ,0 ,0 
