Comuna,Proporcioninvestigados,decasosantesde,nuevos48hrs,Proporciondecontactos,casosconidentificados,Proporcioninvestigados,decontactosantesde,nuevos48hrs
,Casos Nuevos ,Investigados ,% ,Casos con Contactos ,% ,Contactos Nuevos ,Investigados ,% 
Antartica ,- ,- ,- ,- ,- ,- ,- ,- 
Cabo de Hornos ,- ,- ,- ,- ,- ,- ,- ,- 
Laguna Blanca ,- ,- ,- ,- ,- ,- ,- ,- 
Natales ,2 ,2 ,100 ,2 ,100 ,14 ,14 ,100 
Porvenir ,12 ,12 ,100 ,12 ,100 ,160 ,160 ,100 
Primavera ,- ,- ,- ,- ,- ,- ,- ,- 
Punta Arenas ,239 ,239 ,100 ,164 ,686 ,640 ,640 ,100 
Rio Verde ,- ,- ,- ,- ,- ,- ,- ,- 
San Gregorio ,- ,- ,- ,- ,- ,- ,- ,- 
Timaukel ,- ,- ,- ,- ,- ,- ,- ,- 
Torres del Paine ,- ,- ,- ,- ,- ,- ,- ,- 
Total ,253 ,253 ,100 ,178 ,704 ,814 ,814 ,100 
