,,,,,,,,,,Numero,deCasos,Nuevos,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (4 de abril al 11 de abril) 
Antartica ,137 ,O ,"0,0 ",O ,"0,0 ",0 ,"0,0 ",0 ,O ,O ,0 ,O ,O ,O 
Cabo de Hornos ,1.983 ,18 ,"907,7 ",3 ,"151,3 ",3 ,"151,3 ",O ,O ,O ,8 ,7 ,0 ,3 
Laguna Blanca ,264 ,0 ,"0,0 ",0 ,"0,0 ",0 ,"0,0 ",O ,0 ,O ,0 ,O ,O ,0 
Natales ,23.782 ,6 ,"25,2 ",1 ,"4,2 ",1 ,"4,2 ",O ,O ,1 ,3 ,1 ,1 ,O 
Porvenir ,7.323 ,4 ,"54,6 ",1 ,"13,7 ",1 ,"13,7 ",O ,0 ,0 ,0 ,3 ,1 ,0 
Primavera ,694 ,0 ,"0,0 ",0 ,"0,0 ",0 ,"0,0 ",O ,0 ,O ,0 ,O ,O ,O 
Punta Arenas ,141.984 ,387 ,"272,6 ",210 ,"147,9 ",207 ,"145,8 ",1 ,0 ,4 ,61 ,111 ,156 ,54 
Rio Verde ,211 ,O ,"0,0 ",O ,"0,0 ",0 ,"0,0 ",O ,O ,0 ,0 ,O ,O ,O 
San Gregorio ,681 ,0 ,"0,0 ",0 ,"0,0 ",0 ,"0,0 ",0 ,O ,0 ,O ,O ,0 ,O 
Timaukel ,282 ,O ,"0,0 ",O ,"0,0 ",0 ,"0,0 ",O ,0 ,O ,0 ,O ,O ,O 
Torres del Paine ,1.021 ,O ,"0,0 ",O ,"0,0 ",O ,"0,0 ",0 ,0 ,0 ,0 ,O ,O ,O 
Total ,178.362 ,415 ,"232,7 ",215 ,"120,5 ",212 ,"118,9 ",1 ,0 ,5 ,72 ,122 ,158 ,57 
